cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
19,0.9321828781963155,No,0.9361557161630137,0.9385120051041607,17.730023288726805,0.9329903589922658,0.16395975462927173,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.902619549708227e-05,8.148944228602178e-05,0.003,2,if_binary,13,1
29,0.931997854019369,No,0.9356172840073115,0.9382531596604485,15.720431423187256,0.9328287087303672,0.24870194000664886,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.734022773404191e-06,7.630950395361115e-05,0.003,2,if_binary,17,2
8,0.9328192597652796,No,0.9364953134174658,0.9379140860180533,14.452229547500611,0.9336034525544517,0.14788798853215396,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.6082193273637853e-06,6.903847638116332e-05,0.0035,2,if_binary,7,3
22,0.9321393970219471,No,0.9357581429120868,0.9376581391043654,15.769614219665527,0.9330068255720138,0.19863201087301638,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.683871708118728e-05,1.2636779283427885e-05,0.003,2,if_binary,12,4
40,0.9315475370888644,No,0.9365524522084444,0.9372325507292162,16.920491027832032,0.9322370846907553,0.5692061807466187,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.4254757044027435e-06,1.1552794187963588e-05,0.003,2,if_binary,29,5
17,0.9322315275348234,No,0.9365792143316719,0.9370612264280636,17.660307836532592,0.9330175819257883,0.1762357093836884,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,9.413993046829942e-05,4.659589204905954e-05,0.004,2,if_binary,11,6
35,0.9316573404459507,No,0.9362131605090243,0.9369775565131008,14.936697196960449,0.9321702521015883,1.3361962707534045,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.6863473810115066e-06,7.2395651208977e-05,0.003,2,if_binary,30,7
14,0.9322784120844065,No,0.9360147442099013,0.9368078477556345,17.455881977081297,0.9329804550453142,0.7148920731177262,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.1137059440645722e-05,1.2309838286931028e-05,0.003,2,if_binary,14,8
25,0.9320156677630935,No,0.9366093684808249,0.9368078477556345,16.299719381332398,0.9328086178743451,1.0630702683751057,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.470608546778489e-06,4.1193109807554864e-05,0.004,2,if_binary,18,9
31,0.9318879706443944,No,0.9360147442099013,0.9368078477556345,15.883132886886596,0.9325963338947032,0.8714992464307403,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.1851515660043105e-06,2.9116512351025704e-05,0.003,2,if_binary,22,10
