cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__solver,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
18,0.9276858623869193,Yes,0.9494473570318995,0.9305257677329497,8.088360500335693,0.9397136100316699,tanh,1e-06,512,"(72, 36)",adaptive,0.01,adam,0.0002671155504752786,250,0.5,1.1593831134486483e-05,0,,34,61
4,0.9311264287971748,Yes,0.9768734079483947,0.9304770490166567,7.080849695205688,0.936891241393468,relu,1e-06,512,"(64, 32)",adaptive,0.01,adam,3.5222010634042653e-05,194,0.55,4.224759763199934e-05,0.005,if_binary,58,62
21,0.9272786584845566,Yes,0.958599573237214,0.9304763471498974,8.296486473083496,0.9369549671601571,tanh,1e-06,2046,"(64, 32)",constant,0.01,adam,0.00026171101019856907,178,0.6,3.917601770614243e-06,0.0025,if_binary,57,63
33,0.9254898929514134,Yes,0.9593490302031565,0.930464936578124,5.883161401748657,0.936212905641957,relu,1e-06,2046,"(64, 32)",adaptive,0.01,adam,0.0003237982605211298,224,0.45,4.074640851692724e-05,0.005,,63,64
10,0.9295011390541514,Yes,0.959625928552412,0.9303782996466797,7.789719581604004,0.9408833549463613,relu,1e-05,256,"(64, 32)",invscaling,0.001,adam,0.0005841986080198004,267,0.45,1.7545910486566176e-06,0,if_binary,19,65
14,0.9287202068327804,Yes,0.9683753027125765,0.9303709202123172,6.824039554595947,0.9399373641389234,tanh,1e-06,512,"(72, 36)",adaptive,0.01,adam,0.0001659561364135725,147,0.5,6.586289317583108e-05,0.0025,,29,66
52,0.9212105523447403,Yes,0.9546467894396535,0.9301684997293451,10.360122680664062,0.9433393318607026,logistic,1e-05,256,"(72, 36)",adaptive,0.001,adam,1.3735455895745766e-05,190,0.6,1.6161956447093748e-06,0,,1,67
28,0.9258766506084968,Yes,0.9539645184061383,0.9297564280489676,7.702288389205933,0.9344801469429667,tanh,1e-05,1024,"(64, 32)",adaptive,0.01,adam,7.549928546183032e-05,229,0.6,2.3370464734545528e-06,0.0025,if_binary,72,68
15,0.928070112603862,Yes,0.9533772468632077,0.9296680611617515,7.593509578704834,0.9431236597855058,tanh,1e-05,256,"(72, 36)",constant,0.001,adam,1.7428970796126104e-05,151,0.45,6.14376401376724e-05,0,,2,69
2,0.9319822676107797,Yes,0.9752468621326243,0.9294014940435886,9.346963262557983,0.9378421397883926,relu,1e-05,256,"(72, 36)",constant,0.001,adam,5.499426480345607e-05,176,0.6,7.184032636581677e-06,0,if_binary,50,70
31,0.9256549716281268,Yes,0.9532554642937745,0.9293761743295645,5.314740562438965,0.9404300474711972,relu,1e-05,1024,"(72, 36)",invscaling,0.01,adam,4.9420416797148665e-05,230,0.4,1.493263495024689e-05,0.005,,26,71
16,0.9280578439074152,Yes,0.9438325730298668,0.9293722625227113,5.996270036697387,0.9395608697848823,relu,1e-06,1024,"(64, 32)",invscaling,0.01,adam,0.00038777419052583086,234,0.4,5.0286906510087596e-05,0.0025,,37,72
22,0.9272510201032469,Yes,0.9387976079109793,0.9293349781135702,7.987389421463012,0.9403622626882011,tanh,1e-06,1024,"(72, 36)",adaptive,0.01,adam,0.00021632936577760172,200,0.45,2.803484322567601e-06,0,if_binary,27,73
25,0.9265854314067049,Yes,0.9653100559482003,0.928928078394049,8.907214736938476,0.939838414426083,tanh,1e-05,256,"(64, 32)",invscaling,0.001,adam,4.4127334007570984e-05,269,0.55,3.230586021098215e-06,0,if_binary,31,74
13,0.9288014966088041,Yes,0.9703304502431905,0.9286404615272376,11.222164154052734,0.9413116291644323,tanh,1e-06,512,"(64, 32)",invscaling,0.001,adam,1.4544458649908065e-05,222,0.6,5.511683794624122e-06,0,if_binary,13,75
46,0.922051546583399,Yes,0.9301820098761764,0.9283851552091328,7.883399963378906,0.9388897458643255,relu,0.0001,2046,"(64, 32)",constant,0.001,adam,0.0002884553731584063,215,0.45,5.151638228695851e-06,0,,41,76
1,0.933816305419219,Yes,0.967647889821829,0.9283525867963462,8.522552680969238,0.9428484723841765,relu,1e-06,512,"(64, 32)",adaptive,0.001,adam,0.0002463592076865261,146,0.55,2.2382564990409224e-06,0,,4,77
27,0.9262824018499339,Yes,0.9614511035420361,0.9283525867963462,7.237528848648071,0.9353327739348363,relu,0.0001,512,"(72, 36)",adaptive,0.01,adam,0.00043066952555293635,252,0.5,4.382510308461945e-05,0.0025,if_binary,68,78
44,0.922930726369891,Yes,0.9431457888169441,0.9281869283786243,5.8389123439788815,0.9396990898163802,tanh,0.0001,256,"(64, 32)",invscaling,0.001,adam,1.2960046249311963e-05,200,0.4,3.079096598008263e-05,0.005,if_binary,35,79
9,0.9296410358362615,Yes,0.944383244461958,0.9280144974575013,7.8978814601898195,0.9348201553186563,relu,0.0001,1024,"(64, 32)",constant,0.01,adam,0.00038049686341583234,262,0.6,7.121996518301615e-05,0.0025,if_binary,70,80
36,0.9241944448698172,Yes,0.9569189786283628,0.9278612934825297,8.066349029541016,0.9405510713997313,tanh,1e-06,256,"(64, 32)",adaptive,0.001,adam,1.0023992983448856e-05,142,0.5,6.83631406502272e-06,0,if_binary,23,81
12,0.9288807903264317,Yes,0.934811578695955,0.9277189311147903,6.8202046871185305,0.9355675195220738,relu,1e-05,512,"(64, 32)",adaptive,0.001,adam,0.00017049050458377174,208,0.55,1.2319923739394195e-06,0.005,,65,82
29,0.9258433740094372,Yes,0.9725084514316427,0.9275021604792737,7.763806009292603,0.9354111070368794,tanh,1e-05,512,"(72, 36)",adaptive,0.01,adam,4.126239949845735e-05,193,0.55,1.3239632888945264e-05,0.0025,if_binary,66,83
41,0.9234506549771933,Yes,0.9533369017857767,0.9266197016833299,6.2189085483551025,0.9377867074606545,tanh,1e-06,512,"(64, 32)",invscaling,0.01,adam,0.00014431114381789685,254,0.4,8.322203245630674e-06,0.005,if_binary,51,84
26,0.9263905279439737,Yes,0.9668637248768815,0.9259478873722973,9.051668643951416,0.9366405728356373,tanh,1e-05,256,"(64, 32)",adaptive,0.01,adam,0.0007315374514484842,239,0.55,3.80337611001054e-05,0,,61,85
23,0.9269671911176103,Yes,0.9295240126063152,0.9256373518713565,8.428032636642456,0.9422906177233971,tanh,1e-05,2046,"(72, 36)",adaptive,0.01,adam,0.0009397893033412783,260,0.4,1.0353059889022391e-06,0,,7,86
55,0.9207347603317695,Yes,0.9520550823677458,0.9245976766828268,5.69768009185791,0.9396841581004457,logistic,0.0001,512,"(72, 36)",constant,0.01,adam,2.1430220265354885e-05,227,0.4,5.306251107511991e-06,0.005,if_binary,36,87
54,0.920989979024081,Yes,0.9280955295244236,0.9243410513591669,8.314015579223632,0.9427099933975347,logistic,1e-06,256,"(72, 36)",invscaling,0.001,adam,9.35895819106263e-05,300,0.55,2.981935017114935e-06,0,,5,88
72,0.9114632396439065,Yes,0.9261332242872734,0.923500396374269,9.850767993927002,0.9367153798233616,relu,1e-06,1024,"(72, 36)",invscaling,0.0001,adam,2.4477105965661582e-05,233,0.5,1.8830411164464727e-05,0,,60,89
39,0.9237378643149775,Yes,0.9249410204149473,0.9233299896944832,8.982557392120361,0.9416424068935167,tanh,0.0001,2046,"(64, 32)",invscaling,0.001,adam,0.00013046215016113586,252,0.55,1.799536275076238e-06,0,if_binary,10,90
50,0.9215355417597356,Yes,0.92417797390026,0.921990131434693,6.270704030990601,0.937483148787507,tanh,1e-06,2046,"(64, 32)",invscaling,0.01,adam,0.00010070072316456569,159,0.4,1.3863785615907951e-06,0.0025,,54,91
70,0.9123174698481853,Yes,0.9208450157677737,0.9188319221444184,7.791180181503296,0.9362526830202441,relu,1e-05,256,"(72, 36)",constant,0.0001,adam,3.913334858104373e-05,184,0.4,1.0746642789365077e-06,0,,62,92
56,0.9200896534830377,Yes,0.9240186410567809,0.9182597891547276,6.2078025341033936,0.9383619981149621,tanh,0.0001,2046,"(72, 36)",invscaling,0.01,adam,1.4989089372106587e-05,233,0.4,1.4469965355704107e-06,0.005,if_binary,46,93
53,0.9211055657389687,Yes,0.9179280999966593,0.9164923869513362,5.473751354217529,0.9397802963709984,relu,1e-05,2046,"(72, 36)",invscaling,0.001,adam,1.0035927878780911e-05,160,0.4,4.059611610484304e-06,0.0025,if_binary,33,94
85,0.8965623903754067,Yes,0.9163429990839809,0.9147159394879897,10.722968435287475,0.9306342639899541,logistic,1e-06,256,"(64, 32)",constant,0.0001,adam,0.0002341328464776981,296,0.6,6.635205362126855e-05,0,,83,95
90,0.8831057823391308,Yes,0.9067375863376674,0.906017560502372,10.109315824508666,0.9220719873442823,tanh,0.0001,2046,"(64, 32)",adaptive,0.0001,adam,6.862558704732183e-05,195,0.45,1.268164947835534e-05,0,if_binary,88,96
74,0.9076889869253006,Yes,0.8968742182094709,0.8939069116904211,9.375443983078004,0.9336892965028942,tanh,0.0001,2046,"(64, 32)",constant,0.0001,adam,0.00012337682181468132,240,0.55,5.918413104745487e-06,0,,74,97
92,0.871000349610927,Yes,0.8464895104520228,0.8460618904674422,9.396284580230713,0.8723526100016776,logistic,1e-05,1024,"(72, 36)",constant,0.0001,adam,3.85852699847799e-05,164,0.55,2.213282815989597e-05,0,if_binary,93,98
95,0.8480720684224303,Yes,0.8464895104520228,0.8460618904674422,7.425633764266967,0.8685188799621029,logistic,0.0001,2046,"(72, 36)",constant,0.0001,adam,4.380867619725786e-05,209,0.6,5.2085592593797004e-05,0.005,,94,99
99,0.6910970058528665,Yes,0.8464895104520228,0.8460618904674422,5.094015121459961,0.6893809080957286,logistic,1e-06,2046,"(64, 32)",adaptive,0.0001,adam,4.167483149773788e-05,262,0.5,4.997743903948792e-06,0.0025,if_binary,99,100
