cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__max_iter,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
17,0.9145114734541128,No,0.9170467102437652,0.9190495826966084,1.4721755981445312,0.9395565225599137,logistic,0.01,128,"(15, 10, 5)",invscaling,0.001,200,2.0366442026830907e-05,160,0.4,4.059611610484304e-06,0.01,,7,1
23,0.8450403111921307,No,0.9014267727813341,0.9036310838331835,1.0005955219268798,0.8931501379351209,logistic,0.01,1024,"(10, 5)",constant,0.001,300,5.166483937293244e-05,189,0.4,1.6711961317569e-05,0.0075,,23,2
25,0.8204727832605849,No,0.8485419120468888,0.8598478365886315,1.8784638404846192,0.8998164651200042,relu,0.001,1024,"(10, 5)",invscaling,0.0001,300,0.00010090423315981847,286,0.45,1.0572705046816881e-05,0.005,,22,3
27,0.6810335331662402,No,0.7615191366978218,0.7646594724021365,1.1319051742553712,0.6439609539790793,logistic,0.001,512,"(10, 5)",constant,0.0001,300,5.720796166976957e-05,214,0.5,5.399484409787432e-05,0.0075,,27,4
26,0.6812860282349471,No,0.019684539599799742,0.019791266196888258,1.321617889404297,0.6442409578883833,logistic,0.001,1024,"(15, 10, 5)",invscaling,0.0001,300,3.375589571206083e-05,176,0.5,1.5226341829186314e-05,0.005,if_binary,26,5
29,0.5567625852362943,No,0.019684539599799742,0.019791266196888258,2.2376169681549074,0.5662006033385636,relu,0.001,512,"(10, 5)",adaptive,0.001,300,5.9545537938889905e-05,190,0.55,1.0677482709481349e-05,0,if_binary,29,6
4,0.9244166626749699,Yes,0.9389178634762779,0.9322739946493649,1.4039835929870605,0.9388723883567623,tanh,0.01,1024,"(10, 5)",adaptive,0.01,300,2.5788285605745157e-05,177,0.6,1.8391267498289006e-05,0.005,if_binary,10,7
10,0.9201492630677519,Yes,0.9469891809076768,0.9317350661728033,1.8966275215148927,0.9301435100874802,relu,0.001,256,"(10, 5)",adaptive,0.01,100,3.337229276553642e-05,254,0.6,9.407718327908903e-06,0.005,if_binary,20,8
6,0.9234031151881968,Yes,0.9514224846990939,0.9288288908764827,1.4296698570251465,0.9401915534595524,tanh,0.1,1024,"(10, 5)",constant,0.01,300,0.00035067764992972183,189,0.55,4.201672054372529e-06,0.0025,,2,9
11,0.9188015086687248,Yes,0.9355845169724302,0.9281328686101167,1.3040500164031983,0.9355758786285389,relu,0.1,512,"(10, 5)",constant,0.01,200,0.00040938136085987817,199,0.45,5.899741796710488e-06,0.0025,if_binary,17,10
2,0.9259461897070278,Yes,0.9343939645425133,0.927477950786449,1.154733991622925,0.9381775799819314,relu,0.01,256,"(15, 10, 5)",invscaling,0.01,100,3.857142640537947e-05,268,0.5,2.298322152815503e-05,0.01,,12,11
3,0.9252446113854045,Yes,0.9334985844024142,0.9267808206959883,2.008699131011963,0.9396015803788165,relu,0.01,128,"(15, 10, 5)",constant,0.001,300,0.00018635959953564908,176,0.6,7.184032636581677e-06,0.01,if_binary,6,12
12,0.9184670521099478,Yes,0.9346339342948284,0.9258991790760813,2.055294561386108,0.9391742973125163,tanh,0.01,1024,"(10, 5)",invscaling,0.01,200,2.7028155941428444e-05,269,0.45,3.0306601291651846e-05,0,if_binary,9,13
14,0.9163065505656572,Yes,0.9342995521464615,0.9258991790760813,2.1216532230377196,0.9387525624626741,tanh,0.1,256,"(10, 5)",invscaling,0.001,200,1.1267277996879666e-05,209,0.5,1.7952338368491252e-06,0,,11,14
9,0.9212277946122785,Yes,0.9334275905238196,0.9257614525802109,1.0837800979614258,0.936172081255838,relu,0.001,512,"(10, 5)",invscaling,0.01,100,6.663640798842096e-05,190,0.45,4.734022773404191e-06,0.005,,15,15
1,0.9267452607608788,Yes,0.9441328407553593,0.9235673228564897,1.406769371032715,0.9395191401668008,relu,0.1,128,"(10, 5)",invscaling,0.01,100,0.00016834367653595882,281,0.5,1.110364731305462e-05,0.0025,,8,16
5,0.9237204632123337,Yes,0.937764078938634,0.9222822326120619,2.4241549015045165,0.936160265101055,relu,0.1,512,"(10, 5)",constant,0.01,300,0.00020434554984161395,144,0.45,5.211124595788263e-06,0,,16,17
8,0.9217680016358321,Yes,0.9478833677296008,0.9214821924845631,2.270924377441406,0.9396844402249261,tanh,0.01,512,"(15, 10, 5)",invscaling,0.01,100,3.46959166033029e-05,268,0.4,1.9741504223018505e-05,0,,5,18
15,0.9160565625451518,Yes,0.9220874253426513,0.918841545123935,1.4298040390014648,0.9375839951409217,tanh,0.001,512,"(15, 10, 5)",invscaling,0.001,200,0.0003313483615508948,153,0.55,1.2315571723666019e-06,0.01,,14,19
13,0.9182894112812047,Yes,0.9249339345080839,0.9177373328716673,1.7773264408111573,0.9400570572669789,tanh,0.001,1024,"(15, 10, 5)",constant,0.001,100,1.4393910893270907e-05,279,0.6,6.321732490144021e-05,0.005,if_binary,3,20
18,0.9124921488873052,Yes,0.9191097729605631,0.9173117274354483,1.3870277881622315,0.9397909231975559,logistic,0.001,128,"(15, 10, 5)",adaptive,0.001,100,0.00014059738430412236,290,0.45,3.280071082578534e-06,0.0075,,4,21
7,0.9224848507490012,Yes,0.9198461831694974,0.9170244537088063,2.4626200675964354,0.9422956249964536,relu,0.001,256,"(10, 5)",invscaling,0.001,300,6.995363653959081e-05,252,0.6,3.712624179040531e-06,0,if_binary,1,22
16,0.9148621588379487,Yes,0.9176259298948785,0.9150420983539415,1.1877453804016114,0.9378504202752124,relu,0.1,512,"(10, 5)",invscaling,0.001,200,0.0002360327600127809,273,0.55,4.048966222584673e-05,0.0075,,13,23
21,0.8922714761692768,Yes,0.9043396187283532,0.9032647250041325,2.2308229923248293,0.9316948042173421,tanh,0.001,256,"(10, 5)",adaptive,0.0001,100,2.4608087716416337e-05,187,0.5,1.393183744173663e-05,0,,19,24
19,0.9001664313615872,Yes,0.906751005999885,0.9003459519417324,1.0957369327545166,0.9317851538560804,relu,0.001,512,"(10, 5)",adaptive,0.001,100,0.00012325158377757164,214,0.4,2.105025824748384e-06,0.0075,,18,25
20,0.8924510314589043,Yes,0.8916106643867947,0.8891023932535009,1.6604941368103028,0.9191874173194245,relu,0.1,512,"(15, 10, 5)",adaptive,0.0001,100,7.312171172786402e-05,290,0.6,1.2013849374287172e-05,0.01,,21,26
30,0.5124501556943682,Yes,0.8870176204961553,0.8828324652959089,2.7914247035980226,0.5493764069989208,relu,0.01,512,"(10, 5)",invscaling,0.0001,100,1.7355056469855073e-05,154,0.6,1.409617514981586e-06,0,,30,27
22,0.857835970841997,Yes,0.8464895104520228,0.8460618904674422,1.5067264080047607,0.8485885483983815,logistic,0.001,1024,"(10, 5)",constant,0.001,200,0.00032515645455920956,282,0.55,1.4379036661621068e-05,0.005,if_binary,24,28
27,0.6810335331662402,Yes,0.8464895104520228,0.8460618904674422,1.0868026256561278,0.6439609539790793,logistic,0.01,128,"(10, 5)",constant,0.0001,200,1.8758929697854745e-05,221,0.45,2.4198608614538674e-05,0.01,if_binary,27,29
24,0.8314473517271624,Yes,0.6867244691512189,0.6832067507199707,1.2878102302551269,0.8206942828149957,logistic,0.001,1024,"(10, 5)",constant,0.0001,300,2.858450847976074e-05,206,0.45,1.298980180933063e-05,0.0025,if_binary,25,30
