cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__max_iter,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
21,0.9148412932579679,No,0.9294867290749127,0.9311203931799766,1.6449925899505615,0.935377404396277,relu,0.1,1024,"(20, 15, 10)",constant,0.001,300,0.00015432996715556544,191,0.6,8.691079733347108e-05,0.0025,24,1
35,0.5568292330552764,No,0.920456854528853,0.9239132401314418,1.3783902168273925,0.5697167988557486,logistic,0.1,256,"(20, 15, 10, 5)",invscaling,0.001,200,0.00044989974439518636,248,0.5,6.082653960640117e-05,0.005,35,2
19,0.9170623759527885,No,0.9221433744526224,0.9234155767483623,2.042639636993408,0.9386555355152966,tanh,0.01,128,"(20, 15, 10)",constant,0.0001,300,0.00016011002284665278,178,0.6,3.917601770614243e-06,0.0025,9,3
28,0.9090490968996618,No,0.918347842138705,0.923238898790158,1.228606605529785,0.9373146974626941,logistic,0.01,256,"(20, 15, 10)",constant,0.001,300,1.0617003362044482e-05,286,0.45,1.0048003272349203e-05,0.01,14,4
27,0.9120695951426866,No,0.918735478979231,0.9206053751526936,1.4866918563842773,0.9387310604957382,logistic,0.01,128,"(20, 15, 10)",invscaling,0.001,200,2.0366442026830907e-05,160,0.4,4.059611610484304e-06,0.01,8,5
31,0.8865221871397282,No,0.9152103880627886,0.9157871361386336,1.270355749130249,0.9245969194692112,logistic,0.1,512,"(20, 15, 10)",invscaling,0.001,300,0.0001385964945401481,190,0.4,2.0421292855620014e-06,0.01,31,6
29,0.9075485262514864,No,0.9087952088115824,0.9123922214452891,1.9158689022064208,0.9328058902287839,relu,0.1,256,"(20, 15, 10, 5)",constant,0.0001,200,2.5172786947454824e-05,281,0.5,1.110364731305462e-05,0.0025,28,7
30,0.9069543142642364,No,0.9114878222234902,0.9121548157193836,1.6828889846801758,0.9364456020402038,logistic,0.001,128,"(20, 15, 10)",adaptive,0.001,100,0.00028729354109509927,286,0.45,1.0572705046816881e-05,0.005,18,8
22,0.9143221855301581,No,0.9060045400103046,0.9063185830945394,1.591945505142212,0.9372277569781854,tanh,0.001,1024,"(20, 15, 10, 5)",adaptive,0.001,100,0.00017361170890393298,243,0.5,1.3258269776216488e-05,0.005,15,9
33,0.8779785915031404,No,0.019684539599799742,0.019791266196888258,1.6201212406158447,0.9002173467336949,tanh,0.001,1024,"(20, 15, 10, 5)",invscaling,0.0001,200,0.00043168711384296114,178,0.45,2.657915561441958e-05,0.01,33,10
37,0.5158298944270278,No,0.019684539599799742,0.019791266196888258,1.844965124130249,0.4858359539790792,logistic,0.001,512,"(20, 15, 10, 5)",constant,0.0001,300,1.053262861679251e-05,228,0.55,1.338370747253677e-05,0.0025,37,11
6,0.9246772655931215,Yes,0.9520838415425608,0.9358530300146094,1.5033785820007324,0.9401972895718478,logistic,0.001,128,"(20, 15, 10, 5)",adaptive,0.01,200,0.00021134168200828826,291,0.55,1.4732618059500194e-06,0.0075,4,12
10,0.9229614955157844,Yes,0.9393183313927059,0.9316823387860912,1.3184513092041015,0.9376063866035235,relu,0.001,512,"(20, 15, 10, 5)",invscaling,0.001,200,1.1380260511086149e-05,268,0.5,2.298322152815503e-05,0.01,12,13
4,0.9254831586631361,Yes,0.9429325922655428,0.9311200498277967,2.556557559967041,0.9384432262512883,tanh,0.1,1024,"(20, 15, 10, 5)",invscaling,0.01,100,0.00042953883843370076,221,0.6,1.491084759694108e-05,0,10,14
15,0.9195395577193619,Yes,0.9386682872595423,0.9292495208175949,1.37684006690979,0.939444997880185,tanh,0.1,256,"(20, 15, 10)",adaptive,0.001,200,0.0001108865395519735,225,0.45,3.2234972061594725e-06,0.0025,7,15
1,0.9296811413766732,Yes,0.9670996987721967,0.928987616431335,2.2471203327178957,0.9379422036377545,logistic,0.01,128,"(20, 15, 10)",constant,0.01,100,2.1464065246048693e-05,200,0.5,1.393183744173663e-05,0,11,16
16,0.9195329349454369,Yes,0.9438246615322083,0.9277702232531793,1.1409736633300782,0.9410015423207672,tanh,0.01,256,"(20, 15, 10)",invscaling,0.001,100,0.00044391027670513976,183,0.45,6.17021748340315e-06,0.0075,2,17
17,0.9192431936111521,Yes,0.9506247169077071,0.9265937911784212,1.376807689666748,0.932341001163801,relu,0.1,256,"(20, 15, 10, 5)",adaptive,0.001,300,0.00012385894808025207,300,0.6,1.2337682181468131e-05,0.01,30,18
3,0.9257904114115213,Yes,0.9312658043906341,0.92460689970401,1.6954585552215575,0.9326094226026921,relu,0.01,128,"(20, 15, 10)",constant,0.001,300,0.00018635959953564908,176,0.6,7.184032636581677e-06,0.01,29,19
9,0.9231584715549145,Yes,0.9459101699053336,0.9245153641689141,1.2802265644073487,0.9361557762309559,relu,0.01,128,"(20, 15, 10)",adaptive,0.01,100,0.0002603593405108839,174,0.4,3.2927591344236154e-06,0.0075,20,20
26,0.9122232414775269,Yes,0.9437307985750997,0.9243295310967902,1.2443614959716798,0.9375702504246192,tanh,0.01,256,"(20, 15, 10)",constant,0.001,200,3.2752089551615744e-05,240,0.4,4.526244473698832e-05,0.0075,13,21
2,0.9265120496382625,Yes,0.9364632988569764,0.9235889792825394,1.4096261978149414,0.9397151531860601,relu,0.1,512,"(20, 15, 10, 5)",invscaling,0.001,200,0.0002360327600127809,273,0.55,4.048966222584673e-05,0.0075,6,22
12,0.9214388983573464,Yes,0.9340429851224312,0.9233710554334241,1.6048953056335449,0.9353839760221077,tanh,0.01,256,"(20, 15, 10)",constant,0.001,200,6.842906808009925e-05,178,0.55,2.2202595144810538e-06,0.01,23,23
5,0.9249117936071185,Yes,0.9544999424708599,0.923094734000479,2.139168453216553,0.9355660501141518,tanh,0.001,512,"(20, 15, 10, 5)",invscaling,0.01,100,1.600133185397499e-05,168,0.55,1.235962471258738e-06,0,22,24
13,0.9206825046034902,Yes,0.9441443230216767,0.9214811580827356,2.1982864856719972,0.9360716465116807,tanh,0.1,128,"(20, 15, 10)",adaptive,0.01,200,1.3592365321959398e-05,256,0.4,2.382318380657104e-05,0,21,25
23,0.9133529236572799,Yes,0.9380222400765218,0.9211032163943299,1.222920799255371,0.9369574686531355,tanh,0.01,128,"(20, 15, 10, 5)",invscaling,0.001,200,0.00016371068959963804,256,0.4,8.123263880610649e-05,0.01,16,26
8,0.9236375009906634,Yes,0.9247984659949261,0.9207748725653514,1.7559300422668458,0.9342802725497729,tanh,0.01,1024,"(20, 15, 10, 5)",adaptive,0.01,300,2.5788285605745157e-05,177,0.6,1.8391267498289006e-05,0.005,27,27
18,0.9185257772409606,Yes,0.9464575152710595,0.920538198856821,2.467523431777954,0.9351031801203418,tanh,0.01,512,"(20, 15, 10)",invscaling,0.01,100,3.46959166033029e-05,268,0.4,1.9741504223018505e-05,0,25,28
20,0.9157500582132366,Yes,0.9204293894933849,0.9190670998113623,1.4036084175109864,0.9412931287887467,logistic,0.001,128,"(20, 15, 10)",adaptive,0.001,100,0.00014059738430412236,290,0.45,3.280071082578534e-06,0.0075,1,29
11,0.9224799886755253,Yes,0.928127062432092,0.9186348682705938,1.3068543910980224,0.9350744526926285,relu,0.001,512,"(20, 15, 10, 5)",invscaling,0.01,100,6.663640798842096e-05,190,0.45,4.734022773404191e-06,0.005,26,30
14,0.9197791771023356,Yes,0.9191935479659146,0.9174465029142269,2.148009777069092,0.9401340849031641,tanh,0.001,1024,"(20, 15, 10)",constant,0.001,100,1.4393910893270907e-05,279,0.6,6.321732490144021e-05,0.005,5,31
24,0.9126871333407808,Yes,0.918610766918879,0.9167367412547527,1.2680667877197265,0.9403190391410906,logistic,0.01,128,"(20, 15, 10)",constant,0.001,300,7.113136476036263e-05,159,0.4,1.3863785615907951e-06,0.0075,3,32
34,0.7394001719468278,Yes,0.9251403145527638,0.91665076760752,2.790038824081421,0.7525146324049545,relu,0.001,1024,"(20, 15, 10, 5)",constant,0.001,100,2.012863937291146e-05,267,0.5,2.066454201865007e-05,0,34,33
25,0.9122726973341827,Yes,0.9170767982128929,0.9114558761904976,1.701357364654541,0.936912099317612,relu,0.001,128,"(20, 15, 10, 5)",constant,0.0001,100,0.00047499747713783966,227,0.4,2.4970737145052716e-06,0.005,17,34
