cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_krs__activation,param_krs__batch_size,param_krs__callbacks,param_krs__dropout_rate,param_krs__epochs,param_krs__hidden_layer_sizes,param_krs__l2_reg,param_krs__optimizer__learning_rate,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
25,0.8288126556155916,No,0.8907479176831451,0.8939449285849176,6.1149866580963135,0.8719718513707694,tanh,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,20,"(10, 10)",0.09744534538859263,5e-05,279,0.5,3.9909794743901806e-05,0.0035,24,1
2,0.9299130410993902,Yes,0.9380659522928139,0.9279209291515902,9.946415424346924,0.9439436015583266,tanh,128,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,32,"(10, 10)",0.0041497957898915935,5e-05,231,0.4,3.6767006904087405e-06,0,3,2
1,0.9306012670964888,Yes,0.9373081521119075,0.9248425657820377,8.514322757720947,0.9450172336614705,swish,128,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,20,"(10, 10)",0.006623731858645095,1e-05,180,0.5,2.6694854887152312e-05,0,2,3
11,0.9178935937928515,Yes,0.9358489632138869,0.9234498793490961,7.131120681762695,0.9376012584653592,tanh,256,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,32,"(10, 10)",0.00035856126103454004,0.0001,285,0.42500000000000004,6.3056647137010975e-06,0.0025,12,4
12,0.9174380237344201,Yes,0.9372037613734566,0.9228884142776939,6.950225671132405,0.9380354730479795,relu,128,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,20,"(10, 10)",0.0011421064100297757,0.0001,242,0.45,5.523570445089633e-06,0.0065,11,5
6,0.9222253078859396,Yes,0.9352777066998019,0.9217848624083167,7.365183035532634,0.9413563741217698,swish,256,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,32,"(15, 10)",0.0014040609919104443,0.0005,203,0.4,1.2094721136844793e-06,0.0035,6,6
16,0.9020898262589299,Yes,0.9318017073075999,0.9215975443169666,6.420497973759969,0.9285516372694024,tanh,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,50,"(10, 10)",0.00011214075785991138,0.0001,286,0.475,1.4035077140680678e-05,0.005,16,7
3,0.9293564711334584,Yes,0.9341575309254176,0.9201207105446637,9.119595527648926,0.945876695682161,swish,128,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,32,"(15, 10)",0.008979064194712977,0.0005,274,0.4,1.2832708924647266e-05,0.0025,1,8
5,0.9240961473921979,Yes,0.9322702552358269,0.919569372089896,7.505504608154297,0.943336666569449,swish,128,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,20,"(15, 10)",0.011018344696523035,1e-05,299,0.475,1.392417405182266e-06,0.0035,5,9
10,0.9187185549207145,Yes,0.9320326241088949,0.9192965566363693,7.670081456502278,0.9394765838954489,tanh,1024,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,50,"(10, 10)",0.005144366757810553,0.0005,179,0.5,4.910514622919505e-06,0.0025,9,10
