cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_krs__activation,param_krs__batch_size,param_krs__callbacks,param_krs__dropout_rate,param_krs__epochs,param_krs__hidden_layer_sizes,param_krs__l2_reg,param_krs__optimizer__learning_rate,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
7,0.9204206228486518,Yes,0.9352761860997254,0.918456558681011,6.7513149579366045,0.9380418235949296,relu,512,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,50,"(15, 10)",0.0009324140221663494,0.0005,252,0.4,2.8281341812407664e-06,0.005,10,11
8,0.9193228810853489,Yes,0.9300259778308462,0.9181008076421564,10.706370910008749,0.9407804957575824,swish,128,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,50,"(10, 10)",0.034672361874164594,0.0005,291,0.4,1.3855728804517655e-05,0.0035,7,12
4,0.9265165589010137,Yes,0.9333043208731011,0.9169879468267936,10.71928882598877,0.9438441544428823,relu,128,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,50,"(10, 10)",0.03259344887239372,0.0001,290,0.42500000000000004,2.8751415298347213e-06,0.005,4,13
9,0.9187997239246748,Yes,0.9310192440721796,0.9151579185151574,8.901519378026327,0.9398663057050703,swish,128,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,32,"(10, 10)",0.06708188643346288,5e-05,148,0.42500000000000004,1.4916804285545489e-06,0.005,8,14
14,0.911029239782045,Yes,0.926542058017205,0.9118454425543778,6.901331822077434,0.9288437735468986,relu,1024,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,50,"(10, 10)",0.00014765043713594348,0.0005,297,0.42500000000000004,2.1052917703272952e-06,0.0065,15,15
19,0.8974435734068985,Yes,0.9315163588026107,0.9110772762175843,6.293516953786214,0.9282344563740429,tanh,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,50,"(10, 10)",0.008113929572637844,0.0005,235,0.475,4.109513963175657e-05,0.0065,17,16
20,0.8960611065686642,Yes,0.9194255752496049,0.9110555444999149,5.434154510498047,0.9180563444943397,swish,512,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,20,"(10, 10)",0.006260318075113795,0.0001,225,0.475,4.4992802268110254e-05,0.0065,20,17
21,0.8914311263259842,Yes,0.9176447896222424,0.9077083698969762,5.7382462819417315,0.9122841948277243,relu,512,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,20,"(10, 10)",0.0007593893885357799,0.0001,278,0.45,1.806755018931274e-05,0.0035,21,18
24,0.851477549360188,Yes,0.9151237365971269,0.9068319132209774,5.239765961964925,0.8397086653227771,relu,512,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,20,"(10, 10)",0.08918040138190567,5e-05,278,0.4,1.8535256024938787e-06,0.0035,25,19
15,0.910889233088513,Yes,0.9187671285678192,0.9057541957289137,5.402191400527954,0.9296127318465709,relu,512,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,20,"(15, 10)",0.004828715216179213,0.0001,281,0.45,8.50154844984427e-06,0.0025,14,20
18,0.8985663053548426,Yes,0.9201819585022262,0.9050348402369627,5.550646225611369,0.9259348276641163,tanh,512,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,20,"(15, 10)",0.0007153547794693161,1e-05,252,0.42500000000000004,7.831398682688734e-06,0.0075,18,21
17,0.9019558350506767,Yes,0.9135607403805055,0.9044670663147235,6.281294345855713,0.9210667606580697,relu,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,32,"(10, 10)",0.009948716832761025,0.0005,243,0.45,9.953497218898801e-06,0.0035,19,22
13,0.9152436262755086,Yes,0.9185334056028959,0.9029841664259934,8.074483076731363,0.9342277243326668,swish,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,50,"(10, 10)",0.006251373574521752,0.0001,261,0.45,1.5058111949179914e-06,0.0035,13,23
22,0.8762143870246967,Yes,0.9029693026592911,0.8948381812424989,4.982957124710083,0.8952307762741648,swish,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,20,"(10, 10)",0.00012681352169084607,5e-05,220,0.475,2.1088385275999663e-06,0.005,22,24
23,0.8723865568237043,Yes,0.8979536995423724,0.8946544037968026,4.60200039545695,0.8765463967975008,relu,1024,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,20,"(10, 10)",0.00011727009450102256,0.0001,198,0.42500000000000004,1.2105385030163095e-06,0.005,23,25
