cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_transformer__ohe__drop,param_transformer__num__poly__degree,param_transformer__cat__rest_encoder__sigma,param_transformer__cat__rest_encoder__a,param_transformer__cat__combiner__rare_to_value,param_over__sampling_strategy,param_over__k_neighbors,param_gbc__subsample,param_gbc__n_estimators,param_gbc__min_samples_split,param_gbc__min_samples_leaf,param_gbc__max_features,param_gbc__max_depth,param_gbc__loss,param_gbc__learning_rate,param_gbc__criterion,rank_test_precision_weighted,holdout_rank_f1_weighted
23,0.9336149826995049,Yes,0.9358835199621043,0.933897635289162,9.951772022247315,0.9474697237579548,if_binary,1,0.05,1.3,0.0025,0.5,230,0.5,2400,0.01,43,sqrt,4,log_loss,0.002,friedman_mse,5,22
29,0.9326963225889665,Yes,0.940127655522058,0.9338167439132101,7.71990966796875,0.9458682662040113,if_binary,1,0.1,1.4,0.002,0.4,240,0.66,2200,0.015,43,sqrt,4,log_loss,0.004,friedman_mse,46,23
14,0.9350866030251137,Yes,0.9409651152311788,0.9336527314607287,11.825148057937621,0.9463931556698919,if_binary,1,0.15,1.3,0.002,0.45,215,0.58,3500,0.0125,40,sqrt,4,log_loss,0.003,friedman_mse,34,24
39,0.9317194264517568,Yes,0.9391622747872295,0.9334305544977818,13.607997465133668,0.9462081301114708,if_binary,1,0.05,1.3,0.002,0.4,169,0.9,2900,0.015,47,sqrt,5,log_loss,0.002,friedman_mse,37,25
21,0.9340317894067385,Yes,0.9367152881256946,0.9329627664153162,7.878467226028443,0.9466919959655311,if_binary,1,0.1,1.4,0,0.5,236,0.58,2800,0.015,45,sqrt,3,log_loss,0.003,friedman_mse,22,26
24,0.9335213967363863,Yes,0.9388751393775783,0.9328800810396213,7.24044942855835,0.9460182622836097,if_binary,1,0.05,1.2,0.0025,0.42500000000000004,282,0.5,2100,0.015,40,sqrt,4,log_loss,0.004,friedman_mse,42,27
26,0.9328122626084496,Yes,0.9357600693653306,0.9328211242125698,12.904404211044312,0.9469295821638732,if_binary,1,0.15,1.2,0.0035,0.42500000000000004,262,0.9,2900,0.01375,40,sqrt,4,log_loss,0.002,friedman_mse,16,28
35,0.9324091163726372,Yes,0.9363803032684332,0.9327405213370126,9.458664274215698,0.9467060676547442,if_binary,1,0.15,1,0.003,0.45,206,0.58,3200,0.015,43,sqrt,3,log_loss,0.003,friedman_mse,21,29
8,0.9361119349460185,Yes,0.9408839376139955,0.9326591824649396,13.849112033843994,0.9479956402778967,if_binary,1,0.1,1.3,0.002,0.4,201,0.8200000000000001,3100,0.0125,45,sqrt,5,log_loss,0.003,friedman_mse,2,30
27,0.932808503319505,Yes,0.9336414949901959,0.9326591824649396,6.098136281967163,0.9457153497350932,if_binary,1,0.05,1.2,0,0.42500000000000004,258,0.5,3000,0.01,40,sqrt,2,log_loss,0.004,friedman_mse,51,31
51,0.9305848831706289,Yes,0.9330442835488317,0.9326591824649396,7.948437118530274,0.9455291683193069,if_binary,1,0.1,1.4,0.0025,0.42500000000000004,246,0.8200000000000001,2900,0.01,45,sqrt,2,log_loss,0.004,friedman_mse,54,32
37,0.9321798209169408,Yes,0.935189047759689,0.9323554770567781,9.687920951843262,0.9461004760576351,if_binary,1,0.1,1.4,0.0035,0.45,213,0.9,2700,0.015,45,sqrt,3,log_loss,0.003,friedman_mse,40,33
18,0.9342456379249138,Yes,0.9399710544082415,0.9323263148276639,11.794147872924805,0.947283237294416,if_binary,1,0.15,1,0.0035,0.5,148,0.66,2900,0.01,43,sqrt,4,log_loss,0.003,friedman_mse,8,34
17,0.9343196151390494,Yes,0.9368252667642649,0.9322739946493649,15.516075229644775,0.9470728246683235,if_binary,1,0.1,1.4,0.0025,0.475,146,0.8200000000000001,2900,0.0125,45,sqrt,5,log_loss,0.002,friedman_mse,11,35
40,0.9316776752469073,Yes,0.9331174946104747,0.9322739946493649,9.083917903900147,0.9458534681493678,if_binary,1,0.15,1.2,0.003,0.5,220,0.8200000000000001,2600,0.01375,37,sqrt,2,log_loss,0.003,friedman_mse,48,36
16,0.934650323364153,Yes,0.9376241142660807,0.9321917678127533,10.902296161651611,0.9474231931835251,if_binary,1,0.15,1.3,0.0025,0.5,297,0.5,2600,0.01125,45,sqrt,5,log_loss,0.002,friedman_mse,7,37
28,0.9327228829988223,Yes,0.9340005416712344,0.9321917678127533,7.510628318786621,0.9459563763312776,if_binary,1,0.1,1.4,0.0035,0.45,225,0.58,3400,0.015,43,sqrt,2,log_loss,0.004,friedman_mse,43,38
36,0.932288509402038,Yes,0.9380676075277115,0.9321917678127533,13.724459600448608,0.9467477138944973,if_binary,1,0.15,1.4,0.003,0.45,261,0.74,2900,0.01,43,sqrt,5,log_loss,0.002,friedman_mse,19,39
