cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_transformer__ohe__drop,param_transformer__num__poly__degree,param_transformer__cat__combiner__rare_to_value,param_gbc__subsample,param_gbc__n_estimators,param_gbc__min_samples_split,param_gbc__min_samples_leaf,param_gbc__max_features,param_gbc__max_depth,param_gbc__loss,param_gbc__learning_rate,param_gbc__criterion,rank_test_precision_weighted,holdout_rank_f1_weighted
16,0.941290660032289,Yes,0.9476192806704676,0.9443910579615539,9.377703285217285,0.9426625153723285,if_binary,1,0.0075,0.75,1700,0.0125,45,sqrt,2,log_loss,0.005,friedman_mse,10,26
35,0.9390226890218589,Yes,0.9502969678024382,0.944265133438783,52.88496742248535,0.9394923960514181,if_binary,3,0.0025,0.65,1800,0.011125,40,sqrt,2,log_loss,0.005,friedman_mse,32,27
38,0.938827903176018,Yes,0.9673274780276417,0.944265133438783,69.332066488266,0.9385855232309737,if_binary,3,0.0075,0.8,1800,0.0125,40,sqrt,4,log_loss,0.005,friedman_mse,38,28
34,0.9391292137890671,Yes,0.9543497578729706,0.9442314469829324,62.36630916595459,0.9391519034740667,if_binary,3,0.0075,0.8,2500,0.0125,50,sqrt,2,log_loss,0.005,friedman_mse,34,29
9,0.9425197017672057,Yes,0.9487688756216958,0.9441829071849631,12.291162538528443,0.9436487285832618,if_binary,1,0.0025,0.6,2700,0.00975,50,sqrt,2,log_loss,0.005,friedman_mse,6,30
22,0.9405050550603974,Yes,0.9729538217274557,0.9440703568139592,36.792260789871214,0.9402923025294463,if_binary,2,0.0025,0.85,2600,0.011125,50,sqrt,5,log_loss,0.005,friedman_mse,23,31
33,0.9392183923994114,Yes,0.9551190250443758,0.9439617628933765,68.71351680755615,0.9394924143622438,if_binary,3,0.0025,0.75,2600,0.007,40,sqrt,2,log_loss,0.005,friedman_mse,31,32
39,0.9382455072612526,Yes,0.9657726774812959,0.9437412095639943,66.91067490577697,0.9380026910373633,if_binary,3,0.0075,0.65,1700,0.011125,40,sqrt,4,log_loss,0.005,friedman_mse,39,33
25,0.9402928106067197,Yes,0.9785413914716427,0.9434396067480348,105.46227564811707,0.9399100507216753,if_binary,3,0.0025,0.8,2200,0.00975,40,sqrt,5,log_loss,0.005,friedman_mse,29,34
30,0.9396711763991401,Yes,0.9748064697234052,0.9434396067480348,103.33196640014648,0.9393292315277083,if_binary,3,0.0025,0.65,2300,0.008375,45,sqrt,5,log_loss,0.005,friedman_mse,33,35
37,0.9388652187721842,Yes,0.9617099374504465,0.9433284129923759,60.46753444671631,0.9388716973095523,if_binary,3,0.005,0.6,2200,0.007,45,sqrt,3,log_loss,0.005,friedman_mse,36,36
40,0.9378586398556896,Yes,0.9813900801254245,0.9426365819865927,105.71360354423523,0.9374172145763551,if_binary,3,0,0.8,2800,0.0125,45,sqrt,5,log_loss,0.005,friedman_mse,40,37
26,0.9402014256354919,Yes,0.976995174888858,0.9425047242149446,90.61268954277038,0.9399317785996125,if_binary,3,0.0025,0.7,2400,0.008375,45,sqrt,5,log_loss,0.005,friedman_mse,28,38
32,0.939322233620026,Yes,0.9817221937473118,0.9425047242149446,119.05320954322815,0.9390600922707385,if_binary,3,0.005,0.75,2800,0.00975,40,sqrt,5,log_loss,0.005,friedman_mse,35,39
23,0.9404901940215042,Yes,0.9809015692818581,0.9420938216564891,97.25659980773926,0.940146209637677,if_binary,3,0.0025,0.65,3000,0.008375,40,sqrt,5,log_loss,0.005,friedman_mse,25,40
