cv_rank_f1,cv_f1,is_overfit,train_f1,test_f1,mean_fit_time,mean_test_precision,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision,holdout_rank_f1
9,0.6262533506553853,Yes,0.644343891402715,0.6428571428571428,0.7452993869781495,0.8037275431859718,4.7763013891753845,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.9224928882390364e-06,3.153828980092918e-05,0.005,1,if_binary,44,31
6,0.6474457105032624,Yes,0.6933101650738489,0.6393442622950819,0.4421065807342529,0.8004306704531423,20.71482213583095,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.7188284727410146e-05,1.2167394813656254e-05,0,1,if_binary,48,32
7,0.642707327111413,Yes,0.6755319148936171,0.6373626373626372,3.7236196041107177,0.7997324590077979,3.2037543173492162,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.107262293455711e-06,1.1676510763789952e-06,0.0075,2,if_binary,50,33
11,0.5961256870742058,Yes,0.6636280765724704,0.6197183098591549,0.422792911529541,0.8198088258433085,0.652007825594011,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.9642281776943745e-06,7.898447974760861e-06,0,1,if_binary,40,34
13,0.5949004354404174,Yes,0.6204238921001927,0.6167146974063401,3.4296098709106446,0.8311449419443605,7.392721333414637,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,8.613083974387892e-05,2.445344852180102e-05,0.0025,2,if_binary,37,35
20,0.5560478477218712,Yes,0.6451612903225807,0.5899705014749264,0.44587364196777346,0.8196663299821715,5.400764172327731,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.4085618726887427e-06,2.149158929025184e-05,0,1,if_binary,41,36
10,0.6044261835419975,Yes,0.6709796672828096,0.5722713864306784,2.8853461265563967,0.8367049426545993,9.91517005856102,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,2.1299843600614005e-06,1.463481146824669e-05,0,2,if_binary,36,37
19,0.5658717527112923,Yes,0.5924491771539206,0.5680473372781065,3.676225185394287,0.8415191741335217,0.11033419564871129,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.5142788435479414e-06,1.576501829342248e-05,0.0075,2,if_binary,34,38
22,0.5261819622016843,Yes,0.6271844660194175,0.5653495440729484,0.4661994457244873,0.8404732743537296,1.0223447688070497,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.7393301621339735e-06,1.9522944796155703e-05,0,1,if_binary,35,39
23,0.5224340050629385,Yes,0.5646817248459959,0.5517241379310345,3.58291015625,0.8515202191068623,22.071438196479622,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,5.528867002124562e-06,3.0379914597591426e-05,0.0075,2,if_binary,32,40
24,0.5170839122186974,Yes,0.5885947046843176,0.5425867507886435,2.060897970199585,0.8637238334747002,5.576767157828932,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,8.850968141659699e-06,5.954496418611545e-06,0,2,if_binary,27,41
21,0.5501112902188033,Yes,0.6226600985221674,0.5370370370370371,2.7246044635772706,0.8752976315974419,0.25728717070326285,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.498684291854762e-05,9.528503243264395e-06,0,2,if_binary,25,42
29,0.47225600606349005,Yes,0.5500526870389885,0.49673202614379086,0.46506218910217284,0.8778886002657096,3.9482365936474464,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,6.321422435875995e-05,2.028868570868623e-06,0,1,if_binary,23,43
36,0.40666113200631243,Yes,0.4940411700975081,0.49180327868852464,3.454138469696045,0.8961789677231302,0.07819066266943311,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,5.8585872277113066e-06,4.336629384539329e-05,0.005,2,if_binary,21,44
31,0.4582443359425456,Yes,0.4847161572052402,0.4818481848184819,3.4914143085479736,0.8733485682532368,0.4436861021502896,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,1.6676647741845694e-06,4.63353444615104e-05,0.0075,2,if_binary,26,45
32,0.44959601749927175,Yes,0.5,0.47138047138047134,2.717939567565918,0.8978324405221348,16.333657882861445,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,2.327710500000495e-06,2.1578254838677307e-05,0,2,if_binary,20,46
33,0.42649578914656966,Yes,0.5369978858350951,0.43243243243243246,2.935167407989502,0.9048107862445084,0.08397108742799776,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.904509505088698e-06,3.2042696530343896e-05,0,2,if_binary,19,47
38,0.39057024548907193,Yes,0.4214202561117579,0.4113475177304965,0.8380759239196778,0.9082390700123257,11.036202009296337,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.530602797882397e-05,9.299728050104191e-06,0.0025,1,if_binary,15,48
39,0.3696735889549119,Yes,0.4023391812865498,0.3597122302158273,0.7484878540039063,0.907894140661563,0.7191387848310228,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,4.313227268516819e-06,1.6776250773086755e-05,0.005,1,if_binary,16,49
41,0.32347004318183764,Yes,0.38655462184873957,0.34074074074074073,2.882907199859619,0.9435239491691105,1.1312325308659186,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,1.0187829634618148e-05,8.567607770853665e-06,0,2,if_binary,12,50
43,0.25416155737828455,Yes,0.33458177278401996,0.3041825095057034,0.4935253620147705,0.9736929736929737,79.81874789514548,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,8.814427813502388e-07,9.36285737979348e-06,0,1,if_binary,6,51
44,0.25017555461012575,Yes,0.3623011015911873,0.2846153846153846,0.376959228515625,0.980952380952381,2.8619353039229685,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,3.46867263469574e-06,2.6207354286737685e-05,0,1,if_binary,3,52
47,0.22360654034956934,Yes,0.23715415019762845,0.21600000000000003,0.6572465896606445,0.9509090909090908,3.1322063332554877,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,9.312754094101337e-05,1.9671502015052802e-06,0.0075,1,if_binary,9,53
49,0.1326824095607006,Yes,0.19865771812080538,0.1487603305785124,0.6999762535095215,0.89017094017094,0.11152002049595768,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,7.506724027707176e-05,7.751080992030276e-06,0.0025,1,if_binary,22,54
50,0.11685596384216228,Yes,0.15724137931034482,0.14166666666666666,0.7137357711791992,0.9314285714285713,0.36372846827053207,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,1.1959444562781412e-05,1.8616531958093216e-05,0.0075,1,if_binary,13,55
52,0.08284589719528725,Yes,0.162534435261708,0.09401709401709402,2.712448501586914,0.9800000000000001,0.45295350685794916,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.1110289535085367e-06,3.224194105272997e-05,0,2,if_binary,4,56
53,0.04069565277540002,Yes,0.06657018813314038,0.0608695652173913,3.4144648551940917,1.0,0.08256622928842738,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,1.4574076407645954e-05,1.2697019818538018e-06,0.0075,2,if_binary,1,57
54,0.02932685221381286,Yes,0.06386066763425254,0.0608695652173913,0.7015009880065918,0.8,0.3387343778124813,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,8.88399642348628e-06,1.8407389737974564e-06,0.0075,1,if_binary,49,58
56,0.0,Yes,0.020771513353115726,0.017777777777777778,3.435494804382324,0.0,0.07847646372382584,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,2.087147441962844e-05,4.582309384632878e-06,0.005,2,if_binary,56,59
56,0.0,Yes,0.017830609212481426,0.0,0.471897554397583,0.0,0.16775950235327808,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,3.3912854884612415e-06,1.1197477991460426e-06,0,1,if_binary,56,60
