cv_rank_f1,cv_f1,is_overfit,train_f1,test_f1,mean_fit_time,mean_test_precision,param_transformer__ohe__drop,param_transformer__num__poly__degree,param_transformer__cat__rest_encoder__sigma,param_transformer__cat__rest_encoder__a,param_transformer__cat__combiner__rare_to_value,param_gbc__subsample,param_gbc__n_estimators,param_gbc__min_samples_split,param_gbc__min_samples_leaf,param_gbc__max_features,param_gbc__max_depth,param_gbc__loss,param_gbc__learning_rate,param_gbc__criterion,rank_test_precision,holdout_rank_f1
14,0.7247240478132723,Yes,0.771320754716981,0.7606263982102909,12.146208333969117,0.7263657067834313,if_binary,1,0.18,1.2,0,0.85,3000,0.01625,45,sqrt,2,log_loss,0.004,friedman_mse,30,24
28,0.7226078216301977,Yes,0.7651109410864575,0.7601809954751131,13.80438666343689,0.7314715869869642,if_binary,1,0.16,1.1,0,0.85,3700,0.01625,45,sqrt,2,log_loss,0.0037,friedman_mse,8,25
35,0.7213638576814149,Yes,0.7682926829268292,0.7601809954751131,12.781767129898071,0.7299905184649733,if_binary,1,0.16,1.2,0,0.73,3300,0.0125,47,sqrt,2,log_loss,0.004,friedman_mse,14,26
38,0.7205065889105887,Yes,0.7682926829268292,0.7601809954751131,12.498003959655762,0.7310211300986438,if_binary,1,0.16,1.2,0,0.67,3500,0.015000000000000001,44,sqrt,2,log_loss,0.0037,friedman_mse,10,27
19,0.7238282334003345,Yes,0.7722473604826546,0.7595505617977528,13.233138132095338,0.7353565520230869,if_binary,1,0.17,1.2,0,0.85,3700,0.0175,48,sqrt,2,log_loss,0.004,friedman_mse,1,28
36,0.7207782081637396,Yes,0.7707539984767708,0.7595505617977528,12.935847091674805,0.7305554618905798,if_binary,1,0.17,1.2,0,0.67,3800,0.0175,44,sqrt,2,log_loss,0.0037,friedman_mse,12,29
45,0.71922490211463,Yes,0.7673531655225019,0.7595505617977528,11.93829803466797,0.7270089101132886,if_binary,1,0.17,1.1,0,0.55,3600,0.01625,45,sqrt,2,log_loss,0.0037,friedman_mse,28,30
46,0.7190515460729339,Yes,0.7739984882842026,0.7595505617977528,11.539481973648071,0.7251934655382931,if_binary,1,0.16,1.2,0,0.73,3100,0.015000000000000001,48,sqrt,2,log_loss,0.0037,friedman_mse,38,31
54,0.7169530947144112,Yes,0.7698170731707316,0.7595505617977528,11.012036609649659,0.7302095194080668,if_binary,1,0.16,1.2,0,0.55,3800,0.0125,46,sqrt,2,log_loss,0.004,friedman_mse,13,32
37,0.7206635275254486,Yes,0.7694656488549618,0.7584650112866818,11.95477032661438,0.7250435336940759,if_binary,1,0.18,1.1,0,0.67,3500,0.0125,46,sqrt,2,log_loss,0.004,friedman_mse,39,33
5,0.7299508668544663,Yes,0.761544284632854,0.7583148558758314,12.788810396194458,0.7349212867756807,if_binary,1,0.18,1.2,0.001,0.67,3700,0.013750000000000002,46,sqrt,2,log_loss,0.004,friedman_mse,2,34
18,0.723833092861266,Yes,0.760670731707317,0.7583148558758314,11.715593338012695,0.7270396236755159,if_binary,1,0.18,1.2,0.001,0.55,3700,0.01625,44,sqrt,2,log_loss,0.0037,friedman_mse,27,35
34,0.7220368111405608,Yes,0.7617602427921094,0.7583148558758314,12.274330329895019,0.7236008831203328,if_binary,1,0.18,1.2,0.001,0.61,3700,0.01625,48,sqrt,2,log_loss,0.0037,friedman_mse,44,36
13,0.7248266182521685,Yes,0.7694633408919123,0.7578475336322871,12.659681701660157,0.7246667508736474,if_binary,1,0.18,1.1,0,0.85,3100,0.0125,48,sqrt,2,log_loss,0.004,friedman_mse,41,37
15,0.7244850218080281,Yes,0.7667682926829268,0.7578475336322871,11.222493743896484,0.7286423324541251,if_binary,1,0.18,1.1,0,0.55,3300,0.01625,48,sqrt,2,log_loss,0.0037,friedman_mse,21,38
30,0.7223945261929414,Yes,0.7685255920550038,0.7567567567567567,13.330966329574585,0.7320222038784321,if_binary,1,0.17,1.1,0,0.73,3700,0.0175,46,sqrt,2,log_loss,0.004,friedman_mse,5,39
40,0.7201634815196261,Yes,0.7732115677321157,0.7567567567567567,12.804032611846925,0.7281295876894763,if_binary,1,0.18,1.2,0,0.73,3300,0.015000000000000001,44,sqrt,2,log_loss,0.004,friedman_mse,24,40
43,0.7199314067595678,Yes,0.7702805155420773,0.7567567567567567,13.112268495559693,0.7284501283483709,if_binary,1,0.17,1.1,0,0.85,3500,0.0175,48,sqrt,2,log_loss,0.004,friedman_mse,22,41
47,0.718819403231981,Yes,0.7694656488549618,0.7567567567567567,11.160537624359131,0.7260141695712555,if_binary,1,0.18,1.1,0,0.55,3400,0.0125,45,sqrt,2,log_loss,0.004,friedman_mse,33,42
51,0.7172766169271616,Yes,0.7696969696969697,0.7567567567567567,11.28727741241455,0.7262387659259726,if_binary,1,0.17,1.1,0,0.61,3300,0.013750000000000002,44,sqrt,2,log_loss,0.0037,friedman_mse,31,43
55,0.7169163434538435,Yes,0.7677075399847677,0.7567567567567567,13.353936624526977,0.7289944490762174,if_binary,1,0.16,1.2,0,0.67,3800,0.013750000000000002,48,sqrt,2,log_loss,0.0037,friedman_mse,17,44
50,0.7174163723669785,Yes,0.762338648443432,0.756637168141593,11.960778951644897,0.7216102848705123,if_binary,1,0.16,1.2,0.001,0.55,3600,0.013750000000000002,46,sqrt,2,log_loss,0.0037,friedman_mse,53,45
24,0.722932916864156,Yes,0.7734138972809667,0.756152125279642,12.697105312347412,0.7291913836908515,if_binary,1,0.17,1.2,0,0.79,3500,0.0125,47,sqrt,2,log_loss,0.0037,friedman_mse,16,46
33,0.7222242420887535,Yes,0.7662141779788838,0.755656108597285,11.55335168838501,0.724125655624426,if_binary,1,0.18,1.1,0,0.61,2900,0.013750000000000002,47,sqrt,2,log_loss,0.0037,friedman_mse,43,47
20,0.7237293481745548,Yes,0.75893536121673,0.7555555555555556,11.634547901153564,0.721472628457989,if_binary,1,0.18,1.1,0.001,0.61,3500,0.01625,44,sqrt,2,log_loss,0.0037,friedman_mse,54,48
27,0.7227699727452432,Yes,0.7727272727272727,0.7550561797752808,14.126715421676636,0.7313908591916991,if_binary,1,0.17,1.1,0,0.85,3700,0.013750000000000002,46,sqrt,2,log_loss,0.004,friedman_mse,9,49
29,0.7223965754735382,Yes,0.7668944570994686,0.7550561797752808,11.453036451339722,0.7260371946241122,if_binary,1,0.18,1.1,0,0.55,3300,0.0125,45,sqrt,2,log_loss,0.0037,friedman_mse,32,50
21,0.7232395451876368,Yes,0.7649769585253455,0.7545454545454546,12.023111867904664,0.7288000252493064,if_binary,1,0.18,1.1,0,0.73,3400,0.013750000000000002,44,sqrt,2,log_loss,0.004,friedman_mse,18,51
48,0.7185511986969166,Yes,0.7671439336850038,0.7544642857142857,10.655652379989624,0.7244669195673623,if_binary,1,0.17,1.1,0,0.55,3100,0.015000000000000001,44,sqrt,2,log_loss,0.0037,friedman_mse,42,52
11,0.7252133255241177,Yes,0.770392749244713,0.7539503386004515,11.356329298019409,0.7316523553358726,if_binary,1,0.18,1.2,0,0.67,3200,0.015000000000000001,44,sqrt,2,log_loss,0.0037,friedman_mse,7,53
44,0.719921784064298,Yes,0.766412213740458,0.7539503386004515,11.890072774887084,0.7265256478705451,if_binary,1,0.17,1.1,0,0.67,3500,0.01625,47,sqrt,2,log_loss,0.0037,friedman_mse,29,54
52,0.7172392631830574,Yes,0.7629179331306991,0.7533039647577092,10.904468536376953,0.7198922136422137,if_binary,1,0.16,1.1,0.001,0.55,3200,0.013750000000000002,44,sqrt,2,log_loss,0.004,friedman_mse,56,55
39,0.7204973979867174,Yes,0.7633587786259541,0.7522522522522522,11.788156843185424,0.7256625571855746,if_binary,1,0.16,1.1,0,0.79,3000,0.01625,46,sqrt,2,log_loss,0.004,friedman_mse,35,56
17,0.7242097365120946,Yes,0.7677224736048266,0.75,11.622345924377441,0.7235250159119839,if_binary,1,0.17,1.1,0,0.79,2900,0.013750000000000002,44,sqrt,2,log_loss,0.0037,friedman_mse,46,57
25,0.7228649038765679,Yes,0.7659894657637322,0.7494356659142212,11.743000555038453,0.7252768233196473,if_binary,1,0.17,1.1,0,0.85,3000,0.013750000000000002,47,sqrt,2,log_loss,0.0037,friedman_mse,36,58
56,0.716496500961471,Yes,0.7587786259541985,0.7483296213808464,11.95866289138794,0.7213585327238424,if_binary,1,0.16,1.1,0.001,0.61,3700,0.0125,47,sqrt,2,log_loss,0.0037,friedman_mse,55,59
60,0.7127447426792615,Yes,0.7547746371275782,0.7483296213808464,13.726100826263428,0.7124999781610868,if_binary,1,0.16,1.1,0.001,0.67,3000,0.0125,48,sqrt,2,log_loss,0.0037,friedman_mse,60,60
