cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_krs__activation,param_krs__batch_size,param_krs__callbacks,param_krs__dropout_rate,param_krs__epochs,param_krs__hidden_layer_sizes,param_krs__l2_reg,param_krs__optimizer__learning_rate,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
8,0.9315130113637675,Yes,0.9564708044459777,0.928755532352069,20.857691526412964,0.9428568922523842,relu,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,256,"(20, 10)",0.001,0.0001,242,0.42500000000000004,1.894008184580889e-06,0.0035,9,1
1,0.9378310373201989,Yes,0.9481833599953166,0.9286557184383492,30.787847598393757,0.9460467756997194,relu,128,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,64,"(20, 10)",0.01,0.1,180,0.5,2.6694854887152312e-05,0,3,2
10,0.9299562366828632,Yes,0.9573807463221585,0.927492297738396,17.404114802678425,0.9410822858853951,relu,256,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,64,"(20, 10)",0.001,0.0001,211,0.475,3.876026491298422e-06,0.0075,10,3
6,0.9316279000317605,Yes,0.9389536389875759,0.9267057780964025,20.19136579831441,0.9462011331143051,relu,512,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.3,64,"(20, 15, 5)",0.01,0.1,228,0.475,1.0037178528381825e-05,0.0025,2,4
9,0.9315066931822122,Yes,0.9377253750467525,0.9248425657820377,23.63282561302185,0.9455310937218209,tanh,1024,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,128,"(20, 10)",0.01,0.001,143,0.5,5.2974652704857425e-05,0.0025,6,5
4,0.9319538969519877,Yes,0.936889949305965,0.9244702714991313,27.098119576772053,0.9460382339873755,tanh,256,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,128,"(20, 15, 5)",0.01,0.01,179,0.5,4.910514622919505e-06,0.0025,4,6
2,0.9352745785470661,Yes,0.9422310378764448,0.92437488466312,35.419810851415,0.9469939195545615,tanh,512,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,256,"(20, 10)",0.001,0.1,194,0.475,1.1308440215100865e-05,0.0035,1,7
7,0.9316034705076858,Yes,0.9494834626103373,0.9243567619313472,25.4206223487854,0.940306820815905,relu,256,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,256,"(20, 10)",0.001,0.1,147,0.45,4.13913136487289e-05,0.005,12,8
3,0.934329412881629,Yes,0.9408462217926792,0.9231394644624152,55.061387379964195,0.9457620532346586,tanh,128,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,256,"(20, 15, 5)",0.01,0.1,205,0.42500000000000004,2.7350184690317372e-05,0,5,9
13,0.9256175415225895,Yes,0.9400573695595716,0.9230788401202749,19.527913093566895,0.9433827408903978,relu,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,128,"(20, 15, 5)",0.01,0.1,297,0.42500000000000004,2.1052917703272952e-06,0.0065,8,10
11,0.9285718438576801,Yes,0.951418095867799,0.9219235850826195,23.31044586499532,0.9390084037158485,tanh,128,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,256,"(20, 15, 5)",0.001,0.01,240,0.45,2.253154048239122e-05,0.0025,13,11
5,0.9317996064573298,Yes,0.9415047708330279,0.9213098209016236,18.655789375305176,0.9453815412924361,relu,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.3,64,"(20, 10)",0.01,0.001,290,0.5,9.118409907479372e-06,0.0065,7,12
12,0.9261806889844603,Yes,0.9429244525364462,0.9201734893666268,17.256914695103962,0.9404252404739086,relu,1024,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,64,"(20, 10)",0.001,0.0001,198,0.42500000000000004,1.2105385030163095e-06,0.005,11,13
14,0.7936812579645527,Yes,0.9354298108718977,0.9163266560640945,34.096601247787476,0.906013078108001,relu,512,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,256,"(20, 15, 5)",0.001,0.01,229,0.42500000000000004,6.042362134710239e-06,0.0035,14,14
15,0.6659319832083451,Yes,0.9326157406375225,0.9136217160474797,15.658464908599854,0.871557300662003,relu,512,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.3,256,"(20, 15, 5)",0.001,0.0001,275,0.45,2.5412747738023127e-05,0.0035,15,15
