cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
3,0.9330583841155452,No,0.9356172840073115,0.9381590846012371,12.744192981719971,0.9335061380210693,3.1130959561221214,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.9329933033819648e-07,1.4603197563016889e-05,0.003,2,if_binary,6,1
12,0.9318409767918248,No,0.9358650968325115,0.9372325507292162,12.959066772460938,0.9326614686492937,0.6338653441536255,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.025166339242156e-05,8.148944228602178e-05,0.003,2,if_binary,11,2
20,0.9288843318752085,No,0.9319250248760955,0.9346543247173381,4.986491632461548,0.9299985784102699,1.1400863701127315,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.5135566617708285e-06,6.0038461240944076e-05,0.005,1,if_binary,23,3
27,0.9258100265939474,No,0.930907159576963,0.9346058152828172,12.893265771865845,0.9289955520948208,4.508240502480679,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,7.108253772669103e-07,1.2086063237940449e-05,0.003,2,if_binary,27,4
15,0.93110618915116,No,0.9334160934119814,0.9338092322010652,6.265905570983887,0.9314380287652094,13.847220391272586,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.596099207886095e-06,5.13469687604399e-06,0.003,1,if_binary,16,5
18,0.9303213295456135,No,0.9333370124744199,0.9338092322010652,4.7482825756073,0.9312991295687347,2.6536271329026313,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.1895896737553545e-06,6.989035540584847e-06,0.005,1,if_binary,18,6
21,0.9282566704236374,No,0.9314560664963428,0.9336252589648552,4.930466604232788,0.9296724147522681,0.907425628898386,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.557002503932814e-06,2.7731023935427526e-05,0.005,1,if_binary,25,7
28,0.92557783911291,No,0.9316091757597734,0.932273815839635,12.155400896072388,0.9288920077684806,3.420730367009225,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,2.8138155131170206e-05,5.024706386795153e-05,0.0025,2,if_binary,29,8
29,0.9254760121546799,No,0.9302728941630203,0.9318660732396479,12.179946374893188,0.9289209667151642,0.6071989493441297,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.4936568554617628e-07,6.11303812998509e-05,0.006,2,if_binary,28,9
31,0.9252854387066218,No,0.9283163130525223,0.9314048205976885,6.0652937412261965,0.9274450099087457,0.266189764679329,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.138729075414891e-07,9.66252758612188e-06,0.003,1,if_binary,34,10
