cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
32,0.925025398010314,No,0.9302728941630203,0.9312335826552742,12.136216020584106,0.9285211001438549,0.5342937261279772,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.7525283395739763e-06,1.5881974266285583e-05,0.006,2,if_binary,31,11
37,0.922678218321856,No,0.9271488344461416,0.9301756377730478,13.109192323684692,0.927847833497259,0.10574827482766085,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.699972431463808e-06,1.7204834110024147e-05,0.003,2,if_binary,32,12
30,0.925439973130722,No,0.9283826292675206,0.9301638192026896,3.4853671550750733,0.9270910439547955,0.26730883107816694,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.623731858645089e-06,1.1102587101345832e-05,0.0025,1,if_binary,35,13
34,0.9238012849989111,No,0.9267304919123153,0.9295260478365728,5.003338432312011,0.9276827189992677,23.81510841430582,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,5.130781383387441e-06,6.62144818812808e-06,0.006,1,if_binary,33,14
38,0.9221652632933051,No,0.9264398206694618,0.9293040299061217,4.83754186630249,0.9260118316129325,18.709365688887345,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,8.210011670618579e-07,8.047444117870624e-06,0.005,1,if_binary,39,15
39,0.9216385449169703,No,0.9265791100432708,0.9293040299061217,4.915064716339112,0.9256871379161217,6.054305695862112,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,5.59598687800608e-07,1.6372402174426105e-05,0.005,1,if_binary,40,16
36,0.923182550013381,No,0.927196392056489,0.9287045783496997,6.1053173542022705,0.9262602563415939,0.19625093208439853,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.7239577644005506e-06,1.6065507397090587e-05,0.003,1,if_binary,36,17
35,0.9235524494689138,No,0.9274813078734438,0.9282773457940575,4.826963472366333,0.9261138486248305,0.2002621122934531,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.2572057357983692e-06,4.296420706978499e-05,0.005,1,if_binary,38,18
40,0.9210574769630304,No,0.9257603561468069,0.9282328788440933,12.328908348083496,0.9261994489174776,0.05686282517103596,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.1159088550343398e-06,4.07607538945756e-05,0.005,2,if_binary,37,19
43,0.919239703394887,No,0.9243912882439628,0.9273512750506404,4.883125972747803,0.924219181832575,0.8696007095406225,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,2.2887381144600964e-07,1.3266887495808096e-05,0.005,1,if_binary,43,20
41,0.9199845353370865,No,0.9251658274490481,0.9268794907934033,13.861743593215943,0.9247096984668424,0.045821336908433534,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,9.133995846860972e-05,4.659589204905954e-05,0.006,2,if_binary,41,21
44,0.9185928613743849,No,0.9245079375296128,0.9262749976439832,5.020388650894165,0.9243686011602701,0.5464840136863542,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.220410836251674e-06,2.649363744047999e-05,0.006,1,if_binary,42,22
50,0.9162671557637735,No,0.920869410479475,0.9239604292780962,6.602449941635132,0.9240571200163231,0.3024369161272647,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,7.23128604484139e-05,1.3006240125782277e-05,0.003,1,if_binary,44,23
48,0.9168343265963372,No,0.9215582184270459,0.9216187812050732,3.6471277713775634,0.924051065640316,0.314891164795686,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.550621427070769e-07,4.7609616088881155e-05,0.0025,1,if_binary,45,24
52,0.9143461829768185,No,0.9176449258367353,0.9197241467127387,6.244143962860107,0.9231011379352314,0.23134781612225602,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,4.2385261040269007e-07,2.391303826660567e-05,0.003,1,if_binary,47,25
54,0.912499257282078,No,0.916899740011992,0.918344902765202,5.188362121582031,0.92082040605393,0.16536937182824418,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,4.928122297695501e-07,1.0035121726503964e-05,0.006,1,if_binary,53,26
55,0.9023965205903985,No,0.9102345863017192,0.9123972803982792,12.212158823013306,0.9140458374792282,0.011650681118986133,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,2.6822739909301405e-05,1.3697484941122855e-05,0.005,2,if_binary,55,27
7,0.9324167567725716,Yes,0.9375406607471561,0.9363840220311987,12.751764917373658,0.9328419035757417,4.467752817973904,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.8856783874794984e-06,9.119970980133567e-06,0.006,2,if_binary,8,28
4,0.9330423935459118,Yes,0.9365524522084444,0.9362999951196258,13.085920000076294,0.9335138777466039,6.796578090758152,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.4765043713594344e-07,4.0297231649399374e-05,0.003,2,if_binary,4,29
8,0.9323383311605038,Yes,0.9380760667603264,0.9359610654891185,12.456633520126342,0.9328084111366973,2.7541439213320285,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.2681352169084594e-07,6.924922277102765e-05,0.006,2,if_binary,10,30
10,0.9320613196420832,Yes,0.9380760667603264,0.9359610654891185,12.341970443725586,0.9324453698306108,3.143519744713586,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.947147424653741e-06,6.207125444778842e-05,0.006,2,if_binary,12,31
2,0.9334243767909476,Yes,0.9377930378514894,0.9351913328667516,11.978663349151612,0.9339777224516344,35.346441441965815,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.605855368582791e-05,5.849477703167279e-05,0.0025,2,if_binary,2,32
5,0.9328277505412853,Yes,0.9370330771932982,0.9351913328667516,12.310151863098145,0.933509914285405,1.0784378128608842,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.325334260006653e-07,2.758682179124141e-05,0.005,2,if_binary,5,33
1,0.9343919806732772,Yes,0.9380208000220176,0.9348354456553124,12.023930835723878,0.934931984361467,1.9461211687965392,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.622666594728664e-05,1.171072014740193e-05,0.0025,2,if_binary,1,34
13,0.931705315786127,Yes,0.9383908545044939,0.934471039499735,12.043722343444824,0.9328364833530693,0.1707037915305904,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.9099601385505387e-07,1.4472832691259518e-05,0.005,2,if_binary,9,35
16,0.931014185793513,Yes,0.9339988798160813,0.9338092322010652,5.102136421203613,0.9315626056965225,2.4637685958997446,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,9.54162417118455e-07,2.600354995722458e-05,0.006,1,if_binary,15,36
11,0.9319874790642488,Yes,0.9335186938436563,0.9333880055295073,3.41108078956604,0.9324183846934749,4.609877941534891,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,8.178476574339537e-06,6.496265503239575e-05,0.0025,1,if_binary,13,37
14,0.9311671480277729,Yes,0.9335563087169568,0.9332037004667973,6.167478370666504,0.9314305815136518,91.24632886689896,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,5.787499242847461e-07,1.1739244850816245e-05,0.003,1,if_binary,17,38
17,0.9309667982927265,Yes,0.9335563087169568,0.9332037004667973,6.378691005706787,0.9312418121341913,25.383218374507283,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.8565354812055727e-06,1.4682282688965035e-05,0.003,1,if_binary,19,39
9,0.9323084238704749,Yes,0.9364638962198587,0.93282846180419,12.353764629364013,0.9336337481880526,0.08226074946221035,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.26031807511379e-06,3.724898368033039e-05,0.006,2,if_binary,3,40
6,0.9327000520654426,Yes,0.9351129833581423,0.9327830187468181,3.3926751613616943,0.9329652098265526,57.821993155386856,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.4461256820152133e-06,7.49585891703517e-05,0.0025,1,if_binary,7,41
22,0.9273799249579076,Yes,0.9318147250387777,0.930801502515885,12.214351797103882,0.9306298979968224,69.93395623207707,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.4656553886225334e-06,1.0954359341395251e-05,0.0025,2,if_binary,20,42
23,0.9271962333326211,Yes,0.9313955725357353,0.930801502515885,9.272364377975464,0.9304607823241998,24.812994523908127,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.2807142800445774e-05,1.4132837397198229e-05,0.0025,2,if_binary,22,43
19,0.9302385194811047,Yes,0.9354871147383025,0.9307616452443188,12.444842338562012,0.9317537913420161,0.05575453980775369,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.465198567657794e-05,1.2767662421792595e-05,0.005,2,if_binary,14,44
24,0.9270120302422425,Yes,0.9333498357931672,0.9301737791214841,12.416678762435913,0.9304658174236486,78.52755494724249,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,2.334586407601623e-06,4.837041353569163e-05,0.005,2,if_binary,21,45
26,0.9259470534947092,Yes,0.9307649937118058,0.9299618044822866,12.003684616088867,0.929364447090057,0.6218656551522511,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,4.707690774317691e-07,3.9169587647820064e-05,0.0025,2,if_binary,26,46
25,0.9260238916967211,Yes,0.9293567099536775,0.9293224753570434,12.117823266983033,0.9298590277082976,0.30103557686746274,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.5298506868937445e-05,1.4475649490701941e-05,0.006,2,if_binary,24,47
33,0.9249017972027694,Yes,0.9296344755132099,0.9286808247808799,12.124707317352295,0.9288740168586969,0.13783578294796378,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,6.314559252945824e-07,8.411780014585256e-05,0.006,2,if_binary,30,48
45,0.9182353794582916,Yes,0.9247763470080307,0.9243641442193095,5.084607410430908,0.9221916496409669,0.09461469059966103,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,8.64327985232539e-05,2.041568922109785e-05,0.006,1,if_binary,48,49
46,0.9180982176202516,Yes,0.9249144132137403,0.9237063984811661,5.005297517776489,0.9218925271191185,0.09277034327414713,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.875135841747085e-05,2.5106167757907266e-05,0.006,1,if_binary,49,50
49,0.916769408857624,Yes,0.9271845590852431,0.9225335110182867,13.48812894821167,0.9212587940607939,0.01334299028518794,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.1154290797261218e-05,7.556091254901509e-05,0.003,2,if_binary,52,51
51,0.9160626568335699,Yes,0.9227346907966473,0.9217181439056391,4.930263423919678,0.9202717341223563,0.08207295819490817,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.8292192255361878e-05,2.488274666403622e-05,0.006,1,if_binary,54,52
47,0.9180206268144255,Yes,0.9228578401373997,0.920072748146646,3.454081106185913,0.9215234623019649,0.10367204270120668,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,5.693074767644608e-07,2.1045167272616842e-05,0.0025,1,if_binary,51,53
42,0.9196012630385096,Yes,0.9193140211498033,0.9149205935589909,12.35730266571045,0.9231149227111658,0.01494221864490823,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.627897035983002e-05,7.87789737325105e-05,0.0025,2,if_binary,46,54
53,0.9141169614670321,Yes,0.9150983019327396,0.913115894691467,12.332239055633545,0.9217327057569245,0.02701255772543907,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,4.867329944599205e-05,1.9755552282472928e-05,0.0025,2,if_binary,50,55
57,0.8985649146732095,Yes,0.904310777936614,0.9004434328978711,5.096117877960205,0.9126489320728464,0.06039096247545779,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.144706654325595e-06,2.6121081150543594e-05,0.006,1,if_binary,56,56
56,0.899960815707298,Yes,0.9058616793024509,0.9000711057728896,4.847168588638306,0.9097834181886831,0.030086868214458433,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.521611738205426e-05,4.026588310172301e-05,0.005,1,if_binary,57,57
58,0.8762007046170837,Yes,0.8871314001020858,0.8779554941502956,6.336885070800781,0.8972341145771157,0.013558227959926892,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,5.306371575220845e-05,9.992760047032429e-06,0.003,1,if_binary,58,58
59,0.8734984827102338,Yes,0.880926621626063,0.8764552601635175,6.41003565788269,0.8962212878049801,0.010071984838809191,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.549878832196502e-07,1.2046944978568694e-05,0.003,1,if_binary,59,59
60,0.869200922819368,Yes,0.8738449265597051,0.8698574478975984,5.8634271144866945,0.8912369390123243,0.010521761868451128,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.949364447222332e-07,3.907491116535351e-05,0.005,1,if_binary,60,60
