cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_transformer__ohe__drop,param_transformer__num__poly__degree,param_transformer__cat__rest_encoder__sigma,param_transformer__cat__rest_encoder__a,param_transformer__cat__combiner__rare_to_value,param_gbc__subsample,param_gbc__n_estimators,param_gbc__min_samples_split,param_gbc__min_samples_leaf,param_gbc__max_features,param_gbc__max_depth,param_gbc__loss,param_gbc__learning_rate,param_gbc__criterion,rank_test_precision_weighted,holdout_rank_f1_weighted
1,0.9454729358678294,Yes,0.9557658161909928,0.9524113692984618,15.984581518173218,0.9449590231127682,if_binary,1,0.1,1,0,0.8200000000000001,3000,0.0125,40,sqrt,4,log_loss,0.003,friedman_mse,1,1
2,0.9437443947361842,Yes,0.9550583579685145,0.9521800281293952,14.17268795967102,0.9435225104819901,if_binary,1,0.1,1.3,0.0025,0.8200000000000001,2400,0.0125,40,sqrt,4,log_loss,0.003,friedman_mse,2,2
3,0.9431860954660234,Yes,0.9565644859204107,0.9515666454866303,14.668793964385987,0.9429047133120187,if_binary,1,0.1,1.3,0.0025,0.66,2300,0.0125,45,sqrt,5,log_loss,0.003,friedman_mse,3,3
7,0.9421477880218838,Yes,0.9526208424409296,0.9512423816221285,11.297346448898315,0.9421652946836181,if_binary,1,0.1,1.3,0.0025,0.58,1900,0.018125000000000002,45,sqrt,4,log_loss,0.003,friedman_mse,7,4
6,0.9424932265981185,Yes,0.957220440281653,0.9510472597609682,12.91800560951233,0.9422065735865152,if_binary,1,0.1,1.4,0.0025,0.5,2600,0.018125000000000002,40,sqrt,4,log_loss,0.005,friedman_mse,6,5
15,0.9410538904163925,Yes,0.9520449572118946,0.948108962235164,17.67440824508667,0.9411505169727166,if_binary,2,0.1,1,0,0.66,1800,0.018125000000000002,40,sqrt,3,log_loss,0.003,friedman_mse,12,6
9,0.9415172856322412,Yes,0.9678921846910904,0.9480123658315471,27.043812036514282,0.9411924380931648,if_binary,2,0.2,1.4,0.0025,0.74,2700,0.0125,45,sqrt,4,log_loss,0.005,friedman_mse,10,7
10,0.9414406285082597,Yes,0.9586890446626662,0.9478048315438442,19.945245838165285,0.9413300722220385,if_binary,2,0.2,1.4,0.0075,0.66,2100,0.0125,45,sqrt,3,log_loss,0.005,friedman_mse,9,8
8,0.9417508611160397,Yes,0.9478932752979123,0.9475630884601036,10.844933652877808,0.9409615968409876,if_binary,1,0.2,1.4,0.005,0.58,2300,0.01625,40,sqrt,4,log_loss,0.001,friedman_mse,14,9
20,0.9400795787625796,Yes,0.9526082012706345,0.9474859030567884,21.95286121368408,0.9399737283876158,if_binary,2,0.1,1,0.01,0.8200000000000001,2700,0.018125000000000002,40,sqrt,2,log_loss,0.005,friedman_mse,20,10
14,0.9410754935701953,Yes,0.9515585784250106,0.9473872722817871,9.688931941986084,0.9409868536796198,if_binary,1,0.1,1.3,0,0.9,2200,0.01625,45,sqrt,2,log_loss,0.005,friedman_mse,13,11
19,0.9401502472344104,Yes,0.9479006385801703,0.9473773603348082,17.526292085647583,0.9401145050828662,if_binary,2,0.1,1.4,0.01,0.5,2500,0.014375,45,sqrt,2,log_loss,0.003,friedman_mse,19,12
18,0.9404240656314578,Yes,0.9574568302739156,0.9472816643579659,20.56804566383362,0.9402498842291204,if_binary,2,0.1,1,0.01,0.74,1900,0.01625,45,sqrt,3,log_loss,0.005,friedman_mse,18,13
21,0.9395274155322915,Yes,0.9516876483543432,0.9468643780581479,22.243007850646972,0.9396082472422729,if_binary,2,0.1,1.4,0.0075,0.8200000000000001,2600,0.02,45,sqrt,2,log_loss,0.005,friedman_mse,21,14
4,0.9429915263569946,Yes,0.9616321657063909,0.9467572745616452,24.008106899261474,0.9428913495762117,if_binary,2,0.1,1.2,0.005,0.66,3000,0.0125,40,sqrt,3,log_loss,0.005,friedman_mse,4,15
17,0.9407871422259191,Yes,0.9545406848268425,0.9467572745616452,23.57416934967041,0.9406204869097667,if_binary,2,0.1,1.2,0.01,0.74,2400,0.018125000000000002,40,sqrt,3,log_loss,0.003,friedman_mse,17,16
5,0.9426844682034302,Yes,0.9666035990428187,0.9466490546154045,33.212922143936154,0.942402305621553,if_binary,2,0.2,1.2,0.0025,0.9,2600,0.01625,45,sqrt,5,log_loss,0.003,friedman_mse,5,17
16,0.9409702177533674,Yes,0.9512950178069243,0.946429204665165,18.29179663658142,0.9408812033342642,if_binary,2,0.2,1.3,0.01,0.8200000000000001,2000,0.0125,45,sqrt,2,log_loss,0.005,friedman_mse,16,18
32,0.938306224599675,Yes,0.9665097666910784,0.9463175436047082,65.82569069862366,0.9377629245240582,if_binary,3,0.2,1,0,0.66,2900,0.0125,50,sqrt,3,log_loss,0.005,friedman_mse,31,19
29,0.9387051390370441,Yes,0.9744277837266808,0.9460906694966795,72.8276195526123,0.9382620038176327,if_binary,3,0.2,1.4,0,0.5,3000,0.01625,40,sqrt,5,log_loss,0.005,friedman_mse,29,20
36,0.9363760170046806,Yes,0.9698948996156199,0.9457857081542231,60.142489719390866,0.9360914345974478,if_binary,3,0.2,1.2,0,0.5,2100,0.0125,50,sqrt,5,log_loss,0.005,friedman_mse,35,21
25,0.9391411074334808,Yes,0.9479958814624881,0.9447849609843494,24.49386796951294,0.9383788117747102,if_binary,2,0.2,1.3,0.01,0.58,2000,0.018125000000000002,40,sqrt,5,log_loss,0.001,friedman_mse,26,22
11,0.9414171114726388,Yes,0.962819770865232,0.9447605255752417,67.85552759170533,0.9411590597619337,if_binary,3,0.2,1.3,0.005,0.9,2300,0.018125000000000002,40,sqrt,3,log_loss,0.005,friedman_mse,11,23
13,0.9411954479512609,Yes,0.9712769693825547,0.9446473032220202,84.07145967483521,0.9408911273475555,if_binary,3,0.2,1.4,0.01,0.9,2800,0.018125000000000002,50,sqrt,5,log_loss,0.003,friedman_mse,15,24
22,0.9393758567729751,Yes,0.9605953127118698,0.9442314469829324,64.28854837417603,0.9393326355752085,if_binary,3,0.1,1,0.005,0.8200000000000001,1900,0.02,45,sqrt,4,log_loss,0.003,friedman_mse,22,25
26,0.9389316133582118,Yes,0.9669661373329818,0.9440430176010584,77.70452041625977,0.9387334253387698,if_binary,3,0.1,1.3,0.005,0.74,2300,0.02,40,sqrt,5,log_loss,0.003,friedman_mse,25,26
30,0.9385686769798369,Yes,0.9497496436800076,0.9438162610551604,41.925766181945804,0.938789168524513,if_binary,3,0.2,1.4,0.005,0.5,1700,0.018125000000000002,40,sqrt,2,log_loss,0.005,friedman_mse,23,27
12,0.9412534076230574,Yes,0.9481403200490875,0.9436292203019147,11.597779750823975,0.9416376821487686,if_binary,1,0.1,1.3,0.005,0.9,2500,0.01625,50,sqrt,2,log_loss,0.003,friedman_mse,8,28
23,0.9393325245984332,Yes,0.9499303044314669,0.9433197548649577,26.226696729660034,0.938764041737538,if_binary,2,0.1,1.3,0.0075,0.66,2600,0.01625,40,sqrt,4,log_loss,0.001,friedman_mse,24,29
24,0.9393107185611795,Yes,0.9466552390889061,0.9418242987521038,10.195137929916381,0.9383750042873522,if_binary,1,0.2,1,0,0.66,2200,0.01625,40,sqrt,3,log_loss,0.001,friedman_mse,27,30
27,0.9389153773303368,Yes,0.94760342045106,0.9418189626743688,24.522315645217894,0.9382983793049136,if_binary,2,0.2,1.2,0,0.8200000000000001,2400,0.0125,40,sqrt,3,log_loss,0.001,friedman_mse,28,31
35,0.9368255366785998,Yes,0.9420892866287264,0.9416604516185756,10.469256830215453,0.9357902022712627,if_binary,1,0.2,1,0.01,0.74,2100,0.018125000000000002,40,sqrt,3,log_loss,0.001,friedman_mse,36,32
33,0.9374633826946386,Yes,0.9414695957065652,0.9413819687064949,11.062521600723267,0.9367573865053416,if_binary,1,0.1,1.3,0.01,0.5,3000,0.0125,50,sqrt,2,log_loss,0.001,friedman_mse,33,33
28,0.9387863903750377,Yes,0.9474260646803191,0.940421686308621,21.38558773994446,0.9382587868815311,if_binary,2,0.1,1.2,0,0.66,2500,0.01625,50,sqrt,3,log_loss,0.001,friedman_mse,30,34
