cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
17,0.9286067046213647,Yes,0.9553989875811112,0.9295788817329455,7.687072896957398,0.9384904712911372,logistic,1e-06,256,"(64, 32, 16)",adaptive,0.01,7.38758032916585e-05,257,0.55,2.310788347069294e-06,0,48,60
28,0.9262636289766093,Yes,0.9471803888829821,0.9290762546893307,4.903403568267822,0.9380984907597181,relu,1e-05,256,"(64, 32, 16)",constant,0.001,7.630765999829206e-06,186,0.4,4.195914391541157e-06,0.0025,51,61
51,0.920234973938767,Yes,0.9353548510098593,0.9284835923077095,9.422753095626831,0.938809023137319,relu,1e-05,256,"(64, 32, 16)",invscaling,0.0001,0.0004220997386143558,183,0.6,8.704777072687446e-05,0,43,62
36,0.9244860041680425,Yes,0.9625797303383353,0.9284442651547611,8.551168537139892,0.9376864662229119,tanh,1e-05,1024,"(64, 32, 16)",invscaling,0.01,6.46714076061453e-06,214,0.45,8.655733727279395e-05,0,57,63
64,0.9176383222871731,Yes,0.9326598560042563,0.9280041890927011,8.999076223373413,0.9396714825949379,tanh,1e-05,256,"(64, 32, 16)",invscaling,0.0001,1.447963637354419e-05,231,0.55,1.7541893487450792e-06,0,30,64
3,0.9325113759517674,Yes,0.9624252792467873,0.9279672825287969,7.936623764038086,0.9407538738095994,relu,1e-06,512,"(64, 32, 16)",adaptive,0.01,0.0004904929329197827,193,0.5,6.343311240451771e-05,0,22,65
61,0.9184432004067894,Yes,0.9358637823694886,0.9277596545504447,7.659619331359863,0.9408666349845414,logistic,1e-05,256,"(64, 32, 16)",adaptive,0.001,6.483255876880201e-06,227,0.55,7.535384509295544e-05,0.0025,20,66
44,0.9224755453150019,Yes,0.9491790770979059,0.9275694293544745,5.786801719665528,0.9360909113764457,tanh,1e-05,512,"(64, 32, 16)",adaptive,0.01,7.602810860696623e-06,191,0.4,1.0665444947393734e-05,0.005,72,67
8,0.9301742961957198,Yes,0.9753364113045628,0.9273114171157337,8.19734592437744,0.9375638509896909,relu,1e-06,2046,"(64, 32, 16)",constant,0.01,0.0004097998306463634,267,0.55,1.4024125070550062e-05,0.005,59,68
24,0.9267615453235205,Yes,0.944099485505131,0.9271865412702712,7.5033143043518065,0.9419643879877722,tanh,1e-05,256,"(64, 32, 16)",invscaling,0.001,0.00012015992859885681,212,0.45,3.9702769081512986e-05,0,5,69
48,0.9211817795016357,Yes,0.9295935818476727,0.9270804106749142,8.446760988235473,0.941426464110644,tanh,1e-05,2046,"(64, 32, 16)",adaptive,0.001,7.588970653253746e-06,190,0.55,1.0677482709481349e-05,0,13,70
23,0.9268167403602924,Yes,0.9359365576041355,0.9267460456009261,5.967466354370117,0.9364132072114553,relu,1e-06,256,"(64, 32, 16)",adaptive,0.01,2.753684689592344e-05,153,0.45,3.310631308762997e-05,0.0025,69,71
53,0.919626887086222,Yes,0.9283152709383828,0.9265342200247498,7.022826766967773,0.9404038112367854,relu,1e-06,256,"(64, 32, 16)",adaptive,0.0001,0.00011509298623325697,231,0.4,5.620062677517751e-06,0,25,72
18,0.9285120959497284,Yes,0.9461515663152854,0.9264872107071124,8.63946623802185,0.9394209110277089,logistic,1e-06,1024,"(64, 32, 16)",constant,0.01,0.00013349333371372293,140,0.6,1.3260331922696544e-05,0.005,32,73
83,0.8954555289928556,Yes,0.9287035971131012,0.9261539938949422,5.949291753768921,0.9300706479432561,logistic,1e-05,2046,"(64, 32, 16)",constant,0.001,5.3897758104750805e-05,297,0.5,3.893788781594569e-05,0.005,80,74
40,0.9237231233105809,Yes,0.9511030412982381,0.9261309464321635,7.161495065689087,0.9392797279705606,tanh,1e-05,256,"(64, 32, 16)",adaptive,0.001,1.508497944204881e-05,257,0.4,2.091196066971307e-05,0,34,75
12,0.9294356959317952,Yes,0.9683119546751369,0.9260534218525188,7.437168216705322,0.9391334680183618,relu,1e-06,1024,"(64, 32, 16)",invscaling,0.01,1.932652144016076e-05,165,0.5,3.2539725665771173e-06,0,39,76
25,0.9264646212595075,Yes,0.9371109036437005,0.9259848861732686,5.302791929244995,0.9380864852891051,relu,1e-05,512,"(64, 32, 16)",constant,0.01,0.0001153388053493223,156,0.4,1.553379184376411e-05,0.0025,52,77
37,0.9244083898299467,Yes,0.9278526593615369,0.9253944086095942,10.009807634353638,0.9425988770956895,tanh,1e-05,256,"(64, 32, 16)",constant,0.0001,1.463612632301294e-05,275,0.6,5.511683794624122e-06,0,2,78
30,0.9259479344248678,Yes,0.9264555620208045,0.924719761988865,5.883230257034302,0.9380145507045226,logistic,1e-05,512,"(64, 32, 16)",adaptive,0.01,3.697206375887869e-05,280,0.45,8.656080447102072e-06,0.0025,54,79
76,0.9047328595324367,Yes,0.9259793491718286,0.924379989266255,7.360601425170898,0.9300980227078472,relu,1e-05,1024,"(64, 32, 16)",invscaling,0.0001,3.0785976813874786e-05,193,0.45,7.244921257211991e-05,0.0025,79,80
86,0.8849667773605621,Yes,0.9275148581481463,0.9243410513591669,8.653762054443359,0.9252485405434582,logistic,1e-06,2046,"(64, 32, 16)",constant,0.001,9.498016356590816e-06,282,0.5,2.54754843343881e-06,0,86,81
46,0.9218584673066612,Yes,0.9277151114942076,0.9242100571025849,7.232436466217041,0.9431062310749254,logistic,1e-06,256,"(64, 32, 16)",constant,0.001,0.00013041645636018004,158,0.6,5.7013168855230175e-06,0.005,1,82
57,0.9188469346645928,Yes,0.93191825097887,0.9242054460263918,6.734912157058716,0.9418320104956743,logistic,1e-06,256,"(64, 32, 16)",constant,0.001,0.00012797629725055357,242,0.55,9.139563407324434e-05,0.0025,8,83
39,0.9238058205896152,Yes,0.9658457278907346,0.9241845436973033,5.909665155410766,0.9382199507648388,tanh,1e-06,512,"(64, 32, 16)",invscaling,0.01,1.598983171450244e-05,146,0.5,6.171826024355862e-05,0.0025,49,84
16,0.928696959064945,Yes,0.9421215367626851,0.9238467320324735,7.760847043991089,0.9411738519566313,tanh,1e-06,256,"(64, 32, 16)",constant,0.001,7.461232624194659e-06,250,0.45,1.3046215016113585e-05,0,16,85
74,0.9122494751655523,Yes,0.9263413745116834,0.9232899559759752,7.487858390808105,0.9390155434168846,logistic,1e-05,512,"(64, 32, 16)",adaptive,0.001,5.619161200597467e-06,256,0.4,2.382318380657104e-05,0,41,86
54,0.9191908066628078,Yes,0.9246427154633061,0.923238898790158,9.249782991409301,0.9411922954572978,logistic,1e-05,512,"(64, 32, 16)",invscaling,0.001,0.0003080524769690482,153,0.55,1.2315571723666019e-06,0,15,87
22,0.9268197812289201,Yes,0.9232595984748069,0.9220745075795133,7.348661422729492,0.9419237751000713,tanh,1e-06,2046,"(64, 32, 16)",invscaling,0.01,0.00030985078744045705,268,0.4,1.9741504223018505e-05,0,7,88
13,0.929431785869341,Yes,0.9374869102513047,0.9210100362255654,7.862758588790894,0.9410223628799628,relu,1e-06,1024,"(64, 32, 16)",constant,0.01,1.33175947213042e-05,192,0.4,1.6862781164902365e-06,0,18,89
49,0.9210092284814385,Yes,0.9218180563434132,0.9202769385137639,10.452983570098876,0.9422570272612362,logistic,1e-06,512,"(64, 32, 16)",invscaling,0.001,0.00026983469088786134,248,0.6,1.1291040079114114e-06,0,3,90
66,0.9173245403974075,Yes,0.9205658973607439,0.9202769385137639,6.175034236907959,0.9392075915484771,logistic,1e-06,256,"(64, 32, 16)",adaptive,0.001,2.259252173128212e-05,183,0.4,6.040245096887872e-05,0,36,91
59,0.9184954311982405,Yes,0.9214461091367363,0.9195607820175621,8.885048580169677,0.9417637182052045,logistic,1e-06,512,"(64, 32, 16)",constant,0.001,0.00010568529720322862,141,0.45,1.3658426050382535e-05,0,10,92
56,0.9189155821901227,Yes,0.9217870100507566,0.9188599542644542,6.106662845611572,0.9391772401931002,logistic,1e-06,2046,"(64, 32, 16)",invscaling,0.01,0.00023775799063492607,272,0.45,4.439749559397663e-06,0.005,37,93
78,0.9039067581828639,Yes,0.9184775095665814,0.9169069941554863,6.819132089614868,0.9282068528547989,relu,1e-06,2046,"(64, 32, 16)",adaptive,0.0001,0.00014529996675665362,175,0.45,3.1625172163267616e-06,0.005,85,94
41,0.9235347530133196,Yes,0.9246894168418657,0.9168666059954222,6.649134397506714,0.9404597974446636,tanh,1e-06,2046,"(64, 32, 16)",invscaling,0.01,0.00034730801463471353,200,0.4,3.5789472410260512e-06,0,24,95
50,0.9209542094464325,Yes,0.9204379659748803,0.9147205038932354,6.584930324554444,0.9395439386338232,relu,1e-06,256,"(64, 32, 16)",adaptive,0.0001,0.00017516992455793434,275,0.5,2.4985313794028217e-06,0.005,31,96
87,0.7262320653288057,Yes,0.9084268987214428,0.9078300627284566,9.158722639083862,0.7448331972213291,relu,1e-05,2046,"(64, 32, 16)",invscaling,0.0001,1.8117183701283805e-05,145,0.5,3.1292304511228026e-05,0,88,97
90,0.696705711095168,Yes,0.8626228482131499,0.8617750883332777,5.611968946456909,0.72978106512306,logistic,1e-06,2046,"(64, 32, 16)",constant,0.001,3.924594021915336e-05,254,0.4,2.9840796582273612e-05,0.0025,90,98
91,0.6948572003283587,Yes,0.8464895104520228,0.8460618904674422,5.214279985427856,0.6720765478928429,logistic,1e-06,256,"(64, 32, 16)",constant,0.0001,1.7081737076534567e-05,141,0.45,6.63856216796416e-06,0.005,91,99
99,0.515800606029696,Yes,0.8464895104520228,0.8460618904674422,6.784658288955688,0.48580345788838325,logistic,1e-06,1024,"(64, 32, 16)",adaptive,0.0001,3.980783039031472e-05,157,0.55,7.663082680255851e-05,0.0025,99,100
