cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__early_stopping,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__solver,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
28,0.9201879176425338,No,0.9240304302177197,0.9289863519834434,6.770540761947632,0.9403481876539654,logistic,1e-05,512,True,"(64, 32)",invscaling,0.001,adam,3.2927591344236157e-05,243,0.55,4.201672054372529e-06,0.0025,2,if_binary,11,1
37,0.9175771770385446,No,0.9211242220613619,0.9253453945987923,5.186905574798584,0.9388263160190065,logistic,0.0001,256,True,"(64, 32)",invscaling,0.001,adam,0.0001198822531552102,143,0.45,1.1298547638502784e-06,0.005,2,if_binary,20,2
26,0.9213453792727231,No,0.9222946298452644,0.9250475150351531,1.8732462406158448,0.9410119184936342,logistic,1e-05,128,True,"(64, 32, 16)",constant,0.001,adam,9.72271219745201e-05,187,0.55,5.406765938504059e-06,0.005,1,,10,3
31,0.9193702982938893,No,0.9225480776499935,0.9245514075769345,29.22655839920044,0.9414569727329735,logistic,1e-05,512,True,"(64, 32)",constant,0.001,adam,2.0513382630874496e-05,214,0.5,5.399484409787432e-05,0.0075,3,,8,4
14,0.9267042982331372,Yes,0.9590259805695859,0.933881278280809,1.9909467220306396,0.9338125238588247,logistic,0.0001,512,True,"(64, 32, 16)",invscaling,0.1,adam,0.00017249321573179,247,0.55,1.530485212183146e-05,0.005,1,if_binary,40,5
10,0.9281979711013321,Yes,0.9595883576667571,0.9334724954366078,24.236239290237428,0.93863248388876,relu,1e-05,256,True,"(64, 32)",invscaling,0.01,adam,0.00024694972432130535,270,0.4,1.977761233328609e-06,0,3,if_binary,23,6
7,0.9297340415303779,Yes,0.9653989594485104,0.9332031875559691,2.9343106269836428,0.9421504101166983,logistic,0.0001,128,True,"(64, 32, 16)",invscaling,0.01,adam,1.1508017135300929e-05,209,0.5,1.7952338368491252e-06,0,1,,3,7
13,0.9270766837482857,Yes,0.9624605843448365,0.9325194410653729,26.489490699768066,0.9391072938820978,relu,0.001,128,True,"(64, 32)",adaptive,0.001,adam,4.3037200191432504e-05,267,0.45,1.298980180933063e-05,0.0025,3,,19,8
12,0.9271004038826183,Yes,0.9682639144392337,0.931934282449933,6.371634387969971,0.939591515649513,logistic,0.0001,256,True,"(64, 32)",adaptive,0.01,adam,0.00023228092500006268,220,0.45,4.344614632832499e-06,0.0025,2,,17,9
15,0.9266215116849725,Yes,0.9437018591990517,0.9318891355311519,6.5900462627410885,0.9398457146810444,tanh,0.0001,256,True,"(64, 32)",constant,0.001,adam,0.0001856533069072916,265,0.45,1.1531058266441355e-05,0.0025,2,,13,10
2,0.9324120198458953,Yes,0.962960515548237,0.9317332142715519,2.3661205768585205,0.9391873678002364,relu,0.0001,128,True,"(64, 32, 16)",adaptive,0.001,adam,2.457457272781315e-05,200,0.5,1.393183744173663e-05,0,1,,18,11
22,0.9244407516192741,Yes,0.9371621761767195,0.9313834743041477,7.561051368713379,0.9344041636244272,relu,0.001,256,True,"(64, 32)",invscaling,0.1,adam,0.00025062501821866153,191,0.6,8.691079733347108e-05,0.0025,2,if_binary,39,12
16,0.9264987533052242,Yes,0.9590037368239316,0.9307573231571851,4.919037628173828,0.9399174304743176,relu,0.001,256,True,"(64, 32, 16)",invscaling,0.01,adam,0.0002686530932716908,256,0.4,8.123263880610649e-05,0.01,2,if_binary,12,13
11,0.9275126216108566,Yes,0.9544304075231117,0.9301841722387155,4.887839126586914,0.9367961678953673,relu,0.001,128,True,"(64, 32, 16)",invscaling,0.01,adam,1.0432637161302089e-05,238,0.4,1.0235832435175112e-06,0.0025,2,,36,14
25,0.9219757916579612,Yes,0.9346084571528662,0.9298439907860662,1.6558340549468995,0.9397574146636535,tanh,1e-05,512,True,"(64, 32)",invscaling,0.001,adam,0.00028788057183089233,243,0.5,1.3258269776216488e-05,0.005,1,if_binary,15,15
21,0.9245320419451092,Yes,0.9612921387942333,0.9297266528996408,1.7579350471496582,0.9385393121219361,logistic,0.0001,256,True,"(64, 32, 16)",invscaling,0.01,adam,0.0006161049539380964,153,0.55,1.2315571723666019e-06,0.01,1,,26,16
8,0.92951518211785,Yes,0.9680811194819958,0.9295529110870403,35.3685631275177,0.9368592203719842,relu,0.001,512,True,"(64, 32, 16)",adaptive,0.01,adam,3.0759501068720385e-05,177,0.6,9.407718327908903e-06,0.005,3,,35,17
27,0.9206281999913392,Yes,0.9528008703528265,0.9289117908974648,1.5686481475830079,0.9374884203249106,relu,0.0001,256,True,"(64, 32, 16)",adaptive,0.1,adam,1.1356213368177575e-05,237,0.45,7.5326579327799295e-06,0.005,1,,30,18
33,0.9185361974466885,Yes,0.9561464813115996,0.9287281728872852,26.123122453689575,0.941908993833319,logistic,1e-05,128,True,"(64, 32)",invscaling,0.001,adam,0.0008536189862866826,148,0.45,1.5679933916723006e-06,0.0075,3,,4,19
18,0.9255430256969726,Yes,0.9434918668442909,0.9286542262682524,2.293929624557495,0.9378413193054739,logistic,0.0001,512,True,"(64, 32, 16)",constant,0.1,adam,0.000651113774533281,268,0.4,1.9741504223018505e-05,0,1,if_binary,29,20
