lgr,knn,rf,svm,ada,bag,gbc
0.9289676894975667,0.9310981391192132,0.9241226096139643,0.9310446457592265,0.9294696160820657,0.9196793845436908,0.9336631507235176
0.9288872575368596,0.9334529915318737,0.9271276021939652,0.9309364221533529,0.9303566045889793,0.920656268054729,0.9331033054165154
0.931395706510852,0.9334083076775264,0.9315001603803232,0.9309672583094457,0.9327027052637662,0.9258438894411587,0.9358153865796373
0.9330178512589246,0.9313952386088722,0.9311395258455593,0.9316285242763331,0.9299994403702299,0.9286148382197059,0.9346593525125835
0.933586038602968,0.9310558239680683,0.936979419852744,0.9341368703150638,0.9336637684277307,0.9309710542767167,0.9360329507961345
0.9324649931274186,0.9288447826919926,0.9363845516129963,0.9326587018054587,0.9354803436326794,0.9312724757973877,0.9388217499903113
0.9320855349140761,0.9261910366346242,0.9327985912473291,0.9344242257951108,0.9356814438081902,0.931397608768453,0.9359072418242208
0.9319206077022173,0.927077805400548,0.9368479782207141,0.9328575848281584,0.9351424652070375,0.9296709383940908,0.9371868011489412
0.9300723844413747,0.928720344533207,0.9357628748597235,0.9312188239611358,0.9359779730516765,0.9311998237735217,0.9346944762994184
0.9296187937463962,0.9284249628612733,0.9350052640032593,0.9340099431835249,0.9331288250657653,0.932290642173322,0.9374116940338094
0.9309097382454791,0.9261450765623515,0.9358695180134621,0.9313726546510743,0.9347931800312805,0.9358651946873227,0.937013058021868
0.9316707602756994,0.9231996031963348,0.9363976969623355,0.9310801146302664,0.9331362374170495,0.9325679295001965,0.9342004848052504
0.9328198051833242,0.9249899596776956,0.9414370316586428,0.9333550960563557,0.9371666533609171,0.9303881951140432,0.9399273847983658
0.9315851524696516,0.9215082187547992,0.9399278972364637,0.9314605519205343,0.9371360247910687,0.9317376376800685,0.9372801355968118
0.9332319809012593,0.92060827790804,0.9397656489068323,0.9310418747259147,0.9382565741615805,0.9347231085628838,0.9401123082180949
0.9332136244604348,0.9230897681027777,0.938153128368357,0.9318185279211765,0.9342668715832951,0.9316728053399881,0.9404880943922388
0.9330001560286947,0.9182317522257891,0.9372559903535518,0.9322027374040456,0.9343121033598557,0.9334342695642889,0.9372992030797903
0.9337711988658517,0.919506859324349,0.9403603247360868,0.9321175268568757,0.9349521583046256,0.9335448490460865,0.9353354482757886
0.9345469237844103,0.9172564669089575,0.9400937243394815,0.9331448999994473,0.9359661603004795,0.9320005918451499,0.9379924100681398
0.9344828060874422,0.9148759354200038,0.9392953839578301,0.9343346079863917,0.9376697005601805,0.9307651277361184,0.9372979805512216
0.9326792211812169,0.9141301555583393,0.9388071649362921,0.9336521806315312,0.9331249837661841,0.9307892511658474,0.9363609434390721
0.9339346355479419,0.9117105493704518,0.9381842547485284,0.9317832758341631,0.9330104282543485,0.9339426766611174,0.9356908119656012
0.9334548483125069,0.9097023610647703,0.9364547323636924,0.9309627465886543,0.9318798311025087,0.9325364334330759,0.9345690903833299
0.9325959350917168,0.9071532956442152,0.9366659834048632,0.931582231938941,0.9340383989116916,0.9284552141877244,0.9322010161944853
0.9329865383840372,0.9068547570542389,0.9364746861097295,0.9315798998454307,0.9336619195714387,0.9345492565513627,0.9314455397064609
0.9326695690755056,0.9062397713940651,0.9355476534673081,0.9306513377011452,0.92985822193497,0.9308123002703967,0.9338189340979884
0.9295493420125169,0.9061131959985049,0.9361865962382984,0.9317878707321909,0.93037567297072,0.9281340818839215,0.9310456810338021
0.9303250819349144,0.9055849188727519,0.9384823144031736,0.93324412347758,0.9316472850538086,0.9312868160685598,0.9345893592441363
0.9288029102094647,0.9033693874057682,0.9369682229124422,0.9338021839331878,0.9305952807184434,0.9286916704275535,0.9343460048958813
0.9304138912816381,0.9040274823614783,0.9359124504723262,0.9315318814658236,0.9334774178638515,0.9305619149046821,0.9352908916893103
0.9300367446580328,0.9027502105810605,0.939422719175402,0.9314079809542022,0.9350096375758827,0.9295046651970328,0.9327632096585449
0.9305015721343304,0.8998258059643639,0.9367004449697236,0.9318099429772418,0.9310726651755952,0.9285755415785859,0.9349325827983094
